X,OriginTime,MinWait,NumberSeen,MaxAngle
0.0894842,0.28923,0.0945253,0,0
0.0449957,0.300326,0.0618973,0,0
0.55908,0.301742,0.10826,0,0
0.294565,0.306932,0.0897566,0,0
0.0166522,0.310747,0.0409132,0,0
0.00615041,0.350566,0.00109381,2,0.697922
0.515422,0.354219,0.00969936,1,0.0504999
0.511125,0.356431,0.00748737,1,0.0351072
0.768937,0.358917,0.0799172,0,0
0.83111,0.362291,0.0912355,0,0
0.474529,0.364017,0.016757,0,0
0.446702,0.365125,0.032767,0,0
0.197981,0.370371,0.039182,0,0
0.266166,0.372852,0.0238362,1,0.330321
0.336924,0.377038,0.0496656,1,0.163759
0.459731,0.378544,0.0193479,1,0.00749055
0.126855,0.378582,0.00858995,1,0.347734
0.469864,0.37887,0.00190385,1,0.545952
0.155881,0.379439,0.0282798,1,0.0896597
0.123582,0.382669,0.00450258,3,0.435079
0.366273,0.386298,0.00758218,1,0.0266968
0.526183,0.386673,0.00529503,3,0.50397
0.730922,0.387151,0.0274381,0,0
0.362834,0.387705,0.00617449,1,0.0457909
0.383266,0.39016,0.0300349,0,0
0.707207,0.391083,0.0422139,0,0
0.249275,0.395209,0.0136496,2,0.237294
0.621817,0.398193,0.0426261,1,0.134347
0.185369,0.398284,0.0112686,2,0.303283
0.433564,0.398653,0.0095123,1,0.387988
0.256477,0.398747,0.00507485,2,0.418103
0.254577,0.4013,0.0025223,4,0.363674
0.223818,0.404581,0.0270206,2,0.0950677
0.163526,0.40542,0.00229915,3,0.599625
0.739433,0.407982,0.00660732,2,0.361852
0.866168,0.413085,0.0447188,1,0.112213
0.742836,0.414347,0.00362277,3,0.320672
0.391391,0.417731,0.00246347,4,0.598394
0.648862,0.417866,0.0164747,1,0.073352
0.402382,0.418069,0.0218127,3,0.115008
0.214119,0.419827,0.00754774,4,0.516148
0.915074,0.420998,0.0134259,1,0.0213432
0.924304,0.427439,0.0110696,2,0.0659027
0.643625,0.429871,0.0044701,3,0.323154
0.985601,0.430213,0.00127471,4,0.718984
0.919473,0.430254,0.00416981,3,0.276043
0.696339,0.432038,0.00125923,3,0.692068
0.90863,0.432898,0.00693764,2,0.211699
0.979221,0.433222,0.011256,4,0.568005
0.635862,0.433927,0.00854228,3,0.386055
0.803665,0.43498,0.0185466,2,0.41212
0.632894,0.439138,0.00168106,4,0.674118
0.668762,0.442132,0.00938943,3,0.081956
0.956623,0.443265,0.0188767,4,0.301892
0.173552,0.443907,0.000808349,9,0.715198
0.92911,0.446073,0.000295182,6,0.71929
0.895603,0.447201,0.0108953,5,0.0864519
0.965319,0.448837,0.0146053,5,0.422514
0.666255,0.450884,0.000637549,5,0.622833
0.950447,0.456316,0.00582619,6,0.299691
0.883793,0.457034,0.0132753,4,0.373397
0.892719,0.457454,0.000642207,8,0.638675
0.413663,0.45817,0.00251202,15,0.638664
0.97136,0.459168,0.00274976,8,0.57511
0.60188,0.460419,0.00626087,4,0.676858
0.948623,0.463156,0.000228703,9,0.68732
0.677352,0.475175,0.000659021,11,0.711642
