X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.810111,0.643089,0.253393,0.269814,0.182552,0,0
0.787157,0.597418,0.492562,0.281604,0.178194,0,0
0.098129,0.949795,0.699923,0.285236,0.161204,0,0
0.556869,0.058306,0.927943,0.285943,0.200565,0,0
0.245954,0.481498,0.717221,0.288527,0.160438,0,0
0.996499,0.387281,0.187484,0.294209,0.183542,0,0
0.424538,0.142281,0.0733306,0.295416,0.181106,0,0
0.674165,0.563207,0.592985,0.302589,0.133044,0,0
0.393951,0.339909,0.724436,0.303581,0.204619,0,0
0.161712,0.279945,0.265322,0.303952,0.140586,0,0
0.941007,0.0183856,0.183263,0.305328,0.185031,0,0
0.108056,0.880764,0.162318,0.308571,0.169613,0,0
0.543784,0.168034,0.632868,0.309903,0.171282,0,0
0.27895,0.00927646,0.933725,0.311775,0.105755,0,0
0.524675,0.388498,0.664389,0.313641,0.10807,0,0
0.931596,0.0675407,0.690622,0.314093,0.141537,0,0
0.660966,0.121796,0.304631,0.314231,0.12828,0,0
0.814587,0.440486,0.00877582,0.316979,0.105623,0,0
0.451853,0.434211,0.596266,0.318088,0.160468,0,0
0.0891188,0.427935,0.183757,0.319159,0.148239,0,0
0.783943,0.862545,0.663242,0.319373,0.149366,0,0
0.482611,0.56329,0.935079,0.319799,0.135751,0,0
0.348272,0.350844,0.189331,0.320392,0.182137,0,0
0.167852,0.720348,0.932005,0.320467,0.137968,0,0
0.386663,0.236624,0.116208,0.3205,0.155304,0,0
0.789738,0.649532,0.350089,0.320665,0.118443,0,0
0.858888,0.664392,0.615778,0.322346,0.168265,0,0
0.952943,0.245775,0.536792,0.322504,0.141712,0,0
0.446229,0.973932,0.899337,0.32262,0.152988,0,0
0.302306,0.483933,0.67103,0.323582,0.128281,0,0
0.807126,0.0104935,0.41063,0.324246,0.0972772,0,0
0.262021,0.852869,0.846298,0.324264,0.150176,0,0
0.0508998,0.868863,0.246798,0.324595,0.171707,0,0
0.181452,0.590743,0.196833,0.325579,0.138786,0,0
0.179558,0.84546,0.298977,0.32631,0.113574,0,0
0.505909,0.262377,0.675745,0.327839,0.120711,0,0
0.210374,0.750109,0.634429,0.329155,0.168647,0,0
0.657637,0.835785,0.482033,0.330313,0.128279,0,0
0.373578,0.346352,0.821132,0.330581,0.16858,0,0
0.106793,0.666743,0.227494,0.33081,0.134456,0,0
0.235394,0.867771,0.283033,0.330862,0.122136,0,0
0.634682,0.790113,0.721202,0.332206,0.0882191,0,0
0.181738,0.46859,0.180029,0.332931,0.123043,0,0
0.212554,0.373239,0.515481,0.335278,0.137767,0,0
0.504302,0.394941,0.761085,0.335306,0.122801,0,0
0.202971,0.0956858,0.0329218,0.335566,0.0727283,0,0
0.89395,0.264161,0.720056,0.33557,0.127394,0,0
0.452541,0.741042,0.555937,0.336601,0.109818,0,0
0.0553179,0.89069,0.0055422,0.338409,0.105304,0,0
0.621541,0.124272,0.429488,0.338489,0.143362,0,0
0.410419,0.140265,0.829988,0.338706,0.133768,0,0
0.640765,0.454947,0.391246,0.339074,0.113403,0,0
0.679156,0.340727,0.318122,0.339135,0.128452,0,0
0.0860764,0.01977,0.344355,0.339343,0.114997,0,0
0.656144,0.519487,0.560652,0.339535,0.093146,0,0
0.33754,0.410409,0.765226,0.339791,0.119971,0,0
0.399,0.892999,0.446212,0.340524,0.139188,0,0
0.139904,0.745659,0.437276,0.340915,0.134978,0,0
0.76948,0.207114,0.440064,0.341239,0.0950749,0,0
0.216743,0.292789,0.287668,0.342053,0.0857084,0,0
0.00177695,0.0426474,0.895817,0.342142,0.0712849,0,0
0.731147,0.0969028,0.509827,0.342199,0.0889802,0,0
0.184148,0.193996,0.0476388,0.342654,0.146229,0,0
0.677434,0.922152,0.410183,0.342719,0.154624,0,0
0.429873,0.573217,0.778303,0.343394,0.132223,0,0
0.635256,0.545806,0.687595,0.343535,0.0978933,0,0
0.257142,0.474991,0.105679,0.343633,0.0696349,0,0
0.101742,0.962156,0.496957,0.34479,0.152294,0,0
0.556637,0.804532,0.932625,0.344799,0.107435,0,0
0.938595,0.141482,0.306893,0.344803,0.107765,0,0
0.940546,0.662335,0.201388,0.345312,0.112509,0,0
0.186271,0.0415558,0.932052,0.345998,0.107371,0,0
0.259208,0.546981,0.993453,0.346003,0.107009,0,0
0.84081,0.845103,0.586805,0.346442,0.169846,0,0
0.66039,0.214606,0.329478,0.346476,0.136778,0,0
0.792951,0.232908,0.170648,0.34832,0.130698,0,0
0.25169,0.341419,0.398668,0.348417,0.110125,0,0
0.727703,0.259753,0.69395,0.348492,0.127854,0,0
0.443645,0.770321,0.033049,0.348649,0.164645,0,0
0.0597932,0.688087,0.760925,0.349017,0.141175,0,0
0.192239,0.155251,0.608817,0.349132,0.130503,0,0
0.1865,0.143833,0.918609,0.349411,0.129665,0,0
0.280555,0.725216,0.839624,0.349482,0.108038,0,0
0.0598505,0.463657,0.757565,0.349829,0.0989987,0,0
0.271029,0.223233,0.353704,0.350471,0.145102,0,0
0.0982988,0.125006,0.68108,0.350668,0.121856,0,0
0.935209,0.0799016,0.487655,0.351452,0.151021,0,0
0.603176,0.427136,0.417319,0.351735,0.100742,0,0
0.232753,0.888591,0.420106,0.351972,0.170703,0,0
0.244287,0.686996,0.797161,0.352211,0.111318,0,0
0.466943,0.469407,0.773715,0.352303,0.153348,0,0
0.44967,0.659585,0.706453,0.352321,0.156844,0,0
0.77407,0.555649,0.188725,0.352635,0.0758034,0,0
0.0946259,0.185579,0.878646,0.352867,0.146161,0,0
0.891194,0.733842,0.86385,0.353165,0.114508,0,0
0.495808,0.853204,0.214672,0.353257,0.114468,0,0
0.568745,0.35863,0.276073,0.353262,0.136571,0,0
0.768447,0.09537,0.491796,0.35433,0.0768491,0,0
0.154249,0.698455,0.658415,0.354408,0.124576,0,0
0.280957,0.154201,0.816099,0.354746,0.149621,0,0
0.121654,0.599662,0.418386,0.35483,0.119074,0,0
0.851082,0.429487,0.029035,0.35556,0.0670414,0,0
0.532477,0.320409,0.233609,0.355722,0.134111,0,0
0.561285,0.928637,0.677926,0.35592,0.146568,0,0
0.565129,0.194772,0.470278,0.355991,0.115795,0,0
0.624638,0.15651,0.256768,0.356083,0.117863,0,0
0.902958,0.634524,0.227461,0.356186,0.101635,0,0
0.816593,0.585411,0.89115,0.35627,0.107481,0,0
0.678408,0.10683,0.353051,0.356403,0.0822716,0,0
0.135254,0.470058,0.683214,0.356776,0.139793,0,0
0.572876,0.502611,0.0516203,0.356799,0.105407,0,0
0.866575,0.0451652,0.19172,0.357176,0.133183,0,0
0.634336,0.985201,0.732606,0.357251,0.111282,0,0
0.311887,0.609988,0.144829,0.357336,0.161896,0,0
0.997127,0.767046,0.141755,0.357559,0.101942,0,0
0.972222,0.200522,0.486429,0.358081,0.12301,0,0
0.323479,0.183963,0.518523,0.358182,0.0851104,0,0
0.507744,0.0805938,0.568201,0.358225,0.0705209,0,0
0.832144,0.976658,0.0504735,0.35849,0.137196,0,0
0.818716,0.432971,0.775563,0.358573,0.0858691,0,0
0.674793,0.942972,0.547256,0.358911,0.14129,0,0
0.707445,0.817334,0.783925,0.359156,0.162246,0,0
0.59233,0.935563,0.999935,0.359668,0.115402,0,0
0.325545,0.255953,0.406297,0.359767,0.109593,0,0
0.18736,0.777372,0.868198,0.359888,0.0937567,0,0
0.216168,0.385599,0.312515,0.360063,0.125581,0,0
0.974345,0.0480824,0.370842,0.360274,0.105576,0,0
0.720988,0.91216,0.052114,0.360293,0.0842418,0,0
0.175883,0.754536,0.487782,0.360298,0.115595,0,0
0.951334,0.226842,0.613372,0.360493,0.138809,0,0
0.00125891,0.911027,0.917303,0.360713,0.118887,0,0
0.515663,0.715141,0.139461,0.3608,0.131561,0,0
0.233555,0.746561,0.373056,0.361234,0.102411,0,0
0.893833,0.561526,0.718016,0.361326,0.123197,0,0
0.842014,0.132058,0.516229,0.361369,0.140022,0,0
