X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.148955,0.496284,0.571242,0.356187,0.324212,0,0
0.806294,0.553209,0.515367,0.384662,0.20701,0,0
0.118234,0.2514,0.886369,0.386404,0.149206,0,0
0.158757,0.309301,0.625645,0.422403,0.249338,0,0
0.568369,0.961416,0.451205,0.435347,0.159433,0,0
0.206677,0.361476,0.234222,0.440326,0.264685,0,0
0.158232,0.354273,0.790711,0.442321,0.135627,0,0
0.906916,0.862739,0.79688,0.443697,0.196051,0,0
0.864104,0.731779,0.775746,0.444274,0.148607,0,0
0.0205616,0.192309,0.871142,0.452811,0.197131,0,0
0.567862,0.662983,0.673724,0.457264,0.220468,0,0
0.0560817,0.298967,0.677828,0.458531,0.163641,0,0
0.270255,0.774213,0.937275,0.472978,0.228798,0,0
0.764329,0.0325043,0.231987,0.47448,0.276506,0,0
0.35153,0.51696,0.0931197,0.478243,0.223027,0,0
0.892909,0.633782,0.814611,0.488128,0.161288,0,0
0.330156,0.786848,0.167662,0.491282,0.224581,0,0
0.703939,0.272864,0.720905,0.491381,0.246348,0,0
0.86238,0.672248,0.38199,0.492277,0.278465,0,0
0.861064,0.896821,0.170459,0.500159,0.262454,0,0
0.921849,0.998875,0.43444,0.500652,0.210291,0,0
0.812457,0.994219,0.840138,0.500768,0.262671,0,0
0.901186,0.656666,0.0972401,0.501467,0.224732,0,0
0.140239,0.560608,0.309476,0.503106,0.182548,0,0
0.232027,0.504274,0.107983,0.50353,0.197592,0,0
0.82389,0.492581,0.0706319,0.505518,0.0712552,0,0
0.282027,0.584396,0.128042,0.512514,0.177866,0,0
0.125927,0.227853,0.921173,0.513936,0.0216744,1,0.496321
0.930882,0.498564,0.668627,0.515099,0.150514,0,0
0.83889,0.465429,0.0593424,0.515989,0.0607847,0,0
0.64355,0.408056,0.649154,0.516391,0.20681,0,0
0.299078,0.227644,0.472924,0.516424,0.183252,0,0
0.229,0.505839,0.371353,0.517611,0.217399,0,0
0.443726,0.398826,0.0817127,0.518563,0.143415,0,0
0.669695,0.432063,0.519778,0.523553,0.156369,0,0
0.201363,0.974483,0.53373,0.525818,0.203549,0,0
0.237661,0.170184,0.409024,0.525929,0.128481,0,0
0.383645,0.698626,0.0362613,0.526565,0.138785,0,0
0.450211,0.840966,0.301441,0.52692,0.181584,0,0
0.17132,0.699145,0.76154,0.527764,0.156858,0,0
0.109684,0.926027,0.139541,0.528534,0.162206,0,0
0.0717121,0.850912,0.164188,0.529893,0.146141,0,0
0.3878,0.904044,0.360297,0.530556,0.1444,0,0
0.913214,0.526101,0.271145,0.53067,0.180115,0,0
0.207201,0.835029,0.206217,0.533259,0.075325,0,0
0.853789,0.288377,0.581996,0.533801,0.129824,0,0
0.290205,0.352212,0.383945,0.538643,0.14807,0,0
0.839505,0.418335,0.809671,0.539593,0.228564,0,0
0.0880432,0.225377,0.111751,0.540236,0.117647,0,0
0.111163,0.38652,0.116546,0.540422,0.161353,0,0
0.866629,0.695615,0.810217,0.54139,0.0514911,1,0.235342
0.0895757,0.791225,0.131917,0.54152,0.134514,0,0
0.421003,0.369764,0.708479,0.542063,0.161968,0,0
0.286272,0.787691,0.367472,0.542786,0.156347,0,0
0.621142,0.288912,0.24048,0.543509,0.19917,0,0
0.181721,0.838879,0.818951,0.543806,0.0897587,0,0
0.0263876,0.76526,0.122165,0.545193,0.12538,0,0
0.896185,0.254352,0.611843,0.545383,0.118243,0,0
0.517845,0.234458,0.611937,0.546288,0.172204,0,0
0.945536,0.82764,0.335197,0.548547,0.159574,0,0
0.12735,0.522181,0.234752,0.550023,0.101474,0,0
0.759072,0.3302,0.331983,0.551685,0.180987,0,0
0.670153,0.309641,0.572092,0.551837,0.194744,0,0
0.216528,0.527231,0.727245,0.55306,0.109003,1,0.0348235
0.840202,0.834143,0.658471,0.553756,0.127721,0,0
0.788861,0.441119,0.560366,0.554041,0.159386,1,0.0969817
0.529736,0.851136,0.326214,0.554436,0.154068,0,0
0.33878,0.626124,0.917354,0.555081,0.148142,0,0
0.0493134,0.507481,0.00390644,0.555236,0.196454,0,0
0.325574,0.128852,0.430877,0.555536,0.184341,0,0
0.831134,0.885694,0.438576,0.555824,0.224096,0,0
0.927672,0.646589,0.935999,0.55583,0.182639,0,0
0.36392,0.964549,0.35221,0.557165,0.117791,0,0
0.950168,0.733207,0.949935,0.558827,0.122812,0,0
0.79923,0.298068,0.813003,0.559167,0.223416,0,0
0.944877,0.304355,0.358631,0.559714,0.18472,0,0
0.365842,0.0223347,0.626346,0.560267,0.182541,0,0
0.689827,0.487293,0.660176,0.560332,0.130659,0,0
0.388361,0.72119,0.757332,0.560873,0.163486,0,0
0.947808,0.00336559,0.128132,0.561182,0.110936,0,0
0.570467,0.818577,0.0650642,0.561448,0.104,0,0
0.733542,0.2591,0.211688,0.561978,0.150525,0,0
0.494232,0.265501,0.706181,0.563527,0.151304,0,0
0.0401045,0.140299,0.14345,0.563839,0.177289,0,0
0.748482,0.381284,0.218977,0.565643,0.177895,0,0
0.0327728,0.847166,0.754499,0.565907,0.198121,0,0
0.0626008,0.226917,0.157386,0.566447,0.091437,0,0
0.26531,0.81585,0.820896,0.566505,0.145864,0,0
0.318638,0.0729668,0.234155,0.566514,0.122013,0,0
0.400455,0.427337,0.282388,0.566774,0.171497,0,0
0.658184,0.809395,0.516669,0.566792,0.101394,0,0
0.956152,0.72739,0.89111,0.566798,0.114841,0,0
0.617049,0.483088,0.345059,0.566946,0.178724,0,0
0.0738293,0.63581,0.577102,0.568344,0.21107,1,0.0844761
0.769512,0.603194,0.693096,0.569238,0.217034,0,0
0.73545,0.480362,0.617166,0.569321,0.121669,1,0.0709561
0.628059,0.0711555,0.646008,0.569431,0.187649,0,0
0.406996,0.794903,0.734073,0.569801,0.153508,0,0
0.339977,0.354318,0.173906,0.570178,0.111291,0,0
0.310887,0.794778,0.665123,0.570344,0.203588,0,0
0.982595,0.00471821,0.66884,0.570804,0.132837,0,0
0.636787,0.467046,0.474161,0.571334,0.108588,0,0
0.391859,0.32856,0.854266,0.572613,0.167122,0,0
0.552346,0.442702,0.811926,0.573221,0.110384,0,0
0.796971,0.372223,0.465119,0.573356,0.185622,1,0.000839125
0.0609884,0.987834,0.917412,0.575439,0.139887,0,0
0.84956,0.778725,0.674141,0.575814,0.105663,1,0.0413586
0.160985,0.328006,0.768734,0.576138,0.00181003,3,0.72366
0.465255,0.210909,0.669175,0.577988,0.130618,0,0
0.443418,0.406838,0.200337,0.578629,0.173702,0,0
0.929476,0.551975,0.694486,0.578696,0.0869172,1,0.0178534
0.328618,0.19724,0.801353,0.579598,0.132622,0,0
