X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.342295,0.958207,0.358287,0.311988,0.3549,0,0
0.935407,0.990396,0.741985,0.344852,0.374013,0,0
0.106944,0.961438,0.175099,0.424402,0.243242,0,0
0.251782,0.490732,0.286676,0.433196,0.16984,0,0
0.198116,0.71146,0.791807,0.435621,0.307638,0,0
0.780854,0.825891,0.302604,0.464384,0.235043,0,0
0.989477,0.887795,0.238145,0.467114,0.236054,0,0
0.864414,0.686054,0.680709,0.478645,0.211214,0,0
0.998353,0.447728,0.645119,0.480146,0.254067,0,0
0.242834,0.138445,0.468955,0.48442,0.191489,0,0
0.644856,0.512936,0.172962,0.486166,0.216641,0,0
0.752741,0.384053,0.052943,0.496096,0.125806,0,0
0.289849,0.519367,0.23702,0.497636,0.105401,0,0
0.303174,0.717968,0.68634,0.497926,0.170107,0,0
0.826648,0.59524,0.955466,0.498663,0.217413,0,0
0.437837,0.568497,0.236865,0.501943,0.224467,0,0
0.681889,0.498444,0.632228,0.502847,0.124659,0,0
0.857685,0.750041,0.604899,0.503339,0.186519,0,0
0.575105,0.402,0.0338063,0.507188,0.202463,0,0
0.259494,0.154184,0.689066,0.511441,0.199362,0,0
0.763761,0.747835,0.602284,0.512362,0.172438,0,0
0.838257,0.615191,0.820091,0.515717,0.197075,0,0
0.36778,0.323358,0.381543,0.519831,0.210576,0,0
0.78979,0.995751,0.25953,0.520978,0.145313,0,0
0.809854,0.800911,0.472385,0.52332,0.224399,0,0
0.59685,0.831884,0.28498,0.523532,0.18087,0,0
0.190331,0.774178,0.115731,0.524628,0.201693,0,0
0.399938,0.939831,0.680122,0.524967,0.13318,0,0
0.751947,0.397678,0.495412,0.528853,0.121054,0,0
0.393974,0.39191,0.675063,0.529053,0.202528,0,0
0.316295,0.586363,0.893413,0.531083,0.216072,0,0
0.599891,0.320938,0.89813,0.537312,0.15816,0,0
0.654822,0.800686,0.871501,0.537384,0.220448,0,0
0.363946,0.742762,0.650194,0.538419,0.129613,0,0
0.0699086,0.358884,0.982093,0.539944,0.169588,0,0
0.840022,0.492483,0.835544,0.5404,0.17267,0,0
0.704686,0.522884,0.871264,0.540484,0.0916015,0,0
0.870128,0.543723,0.338619,0.54061,0.214213,0,0
0.730324,0.353623,0.525076,0.541586,0.108321,0,0
0.749031,0.219691,0.912564,0.541682,0.20633,0,0
0.255182,0.632701,0.235547,0.542933,0.113287,0,0
0.68403,0.0311502,0.0329932,0.543487,0.181578,0,0
0.51356,0.521593,0.766533,0.544165,0.135325,0,0
0.248378,0.219835,0.430994,0.545193,0.14957,0,0
0.962617,0.964006,0.606191,0.545198,0.181798,1,0.10526
0.754511,0.97625,0.696524,0.545366,0.101783,1,0.017985
0.128691,0.835084,0.312798,0.545469,0.204446,0,0
0.340889,0.252355,0.815616,0.546639,0.174717,0,0
0.472093,0.523607,0.0122417,0.547113,0.173725,0,0
0.949653,0.79463,0.794862,0.548228,0.2172,1,0.00011602
0.231458,0.978867,0.0468105,0.548526,0.202301,0,0
0.699504,0.884076,0.123609,0.550156,0.177076,0,0
0.238964,0.868351,0.320428,0.550373,0.145867,1,0.169475
0.631182,0.39942,0.6599,0.553211,0.200532,0,0
0.551812,0.0578646,0.720738,0.554581,0.168833,0,0
0.214712,0.33425,0.547294,0.555896,0.142919,0,0
0.135662,0.858254,0.632288,0.556166,0.169786,0,0
0.808636,0.768671,0.114508,0.55701,0.175341,0,0
0.408747,0.422314,0.304476,0.557018,0.230087,0,0
0.585059,0.74806,0.30302,0.557782,0.0983604,0,0
0.0632944,0.0633911,0.24886,0.55829,0.199442,1,0.00130384
0.2802,0.103821,0.526626,0.559604,0.116305,1,0.0178918
0.0451659,0.0473731,0.61813,0.56001,0.228448,1,0.057326
0.877889,0.251721,0.163906,0.560761,0.206241,0,0
0.942224,0.171668,0.12865,0.562636,0.208335,0,0
0.70519,0.51977,0.59701,0.562935,0.0645709,1,0.0675401
0.89715,0.430364,0.441638,0.563766,0.172156,0,0
0.580211,0.706168,0.88751,0.563958,0.129238,0,0
0.395563,0.401708,0.0642472,0.564011,0.207658,0,0
0.389843,0.212087,0.0444697,0.564217,0.183766,0,0
0.228184,0.561322,0.704634,0.564956,0.176017,0,0
0.51065,0.0585107,0.811812,0.564969,0.138876,0,0
0.963648,0.841159,0.916336,0.565615,0.201963,0,0
0.329509,0.377873,0.765344,0.567082,0.160911,0,0
0.715871,0.361398,0.0647422,0.568292,0.0536109,1,0.152389
0.134217,0.365046,0.778052,0.568437,0.168792,0,0
0.275515,0.852162,0.437259,0.569869,0.0964447,1,0.185234
0.697081,0.0324284,0.578783,0.569928,0.169546,0,0
0.0503776,0.80299,0.989626,0.570018,0.216041,0,0
0.840594,0.010581,0.230436,0.570026,0.0962653,0,0
0.33054,0.495764,0.506958,0.571403,0.130222,0,0
0.630596,0.322585,0.101942,0.571406,0.132035,0,0
0.245596,0.128629,0.12684,0.572704,0.16958,0,0
0.714272,0.958838,0.693425,0.573115,0.0740336,0,0
0.91922,0.545879,0.905764,0.574037,0.167284,0,0
0.337067,0.131974,0.650654,0.574335,0.118278,0,0
0.814507,0.701668,0.470432,0.574633,0.169138,0,0
0.211326,0.960686,0.180535,0.575552,0.103968,2,0.111513
0.907624,0.121714,0.478327,0.575847,0.0344788,0,0
0.142323,0.581246,0.0546777,0.576408,0.174374,0,0
0.796793,0.715063,0.960187,0.57655,0.148797,0,0
0.479295,0.72265,0.456218,0.576674,0.174335,0,0
0.290223,0.316997,0.457123,0.577502,0.118964,0,0
0.475902,0.844514,0.582668,0.577587,0.164934,0,0
0.478197,0.768048,0.363454,0.577888,0.110647,1,0.0343398
0.415066,0.667509,0.585659,0.579346,0.0931939,0,0
0.864639,0.18407,0.45119,0.580294,0.0643651,0,0
0.779088,0.504172,0.698335,0.58043,0.133388,0,0
0.168211,0.515595,0.632031,0.580453,0.143978,0,0
0.309097,0.898535,0.920217,0.5817,0.170555,0,0
0.34025,0.829427,0.783028,0.582444,0.208405,0,0
0.561758,0.523044,0.18089,0.583109,0.119698,1,0.0382301
0.157369,0.568235,0.156152,0.583136,0.179613,0,0
0.0603523,0.97162,0.497227,0.584411,0.148976,0,0
0.479159,0.123989,0.00445278,0.585333,0.146416,0,0
0.880196,0.394731,0.0796093,0.585764,0.178505,0,0
0.909068,0.133446,0.469624,0.586088,0.0242375,0,0
0.234321,0.224119,0.731421,0.586878,0.124024,0,0
0.589195,0.679836,0.835863,0.587773,0.105423,0,0
0.0982994,0.404093,0.0453968,0.58786,0.106456,0,0
0.137026,0.956014,0.972308,0.588353,0.157538,0,0
0.771892,0.433392,0.458878,0.588525,0.0798538,1,0.0220043
0.64644,0.739712,0.647473,0.588529,0.0917978,0,0
0.67406,0.509307,0.866974,0.588588,0.0434972,1,0.106067
0.465463,0.879711,0.237279,0.590495,0.167538,1,0.117094
0.404414,0.837524,0.1811,0.590566,0.13088,1,0.0620267
0.531201,0.858059,0.700822,0.592494,0.114871,0,0
0.768973,0.330167,0.126566,0.592771,0.137001,1,0.0108068
0.812538,0.0126938,0.349793,0.593093,0.153172,0,0
0.153715,0.434466,0.808398,0.593095,0.144134,0,0
0.585049,0.114561,0.889418,0.593352,0.0872003,0,0
0.543195,0.549876,0.630621,0.593965,0.121944,0,0
0.920333,0.645195,0.88291,0.594111,0.082077,0,0
0.549035,0.440826,0.613241,0.594124,0.153665,0,0
0.804911,0.391477,0.8032,0.594173,0.081559,0,0
0.670444,0.749536,0.254392,0.594308,0.157492,0,0
0.733113,0.67095,0.928138,0.594689,0.1586,0,0
0.21498,0.267075,0.673212,0.594838,0.0483479,0,0
0.383378,0.524399,0.776583,0.594986,0.161592,0,0
0.512202,0.483978,0.344488,0.595532,0.156661,0,0
0.855499,0.202529,0.389079,0.595856,0.122966,0,0
0.288214,0.359191,0.16198,0.595994,0.132011,0,0
0.0276794,0.829927,0.619968,0.596478,0.117397,1,0.0337411
0.284222,0.944006,0.164086,0.597407,0.125707,1,0.101164
0.022808,0.280965,0.648077,0.598364,0.166591,0,0
0.534412,0.0182254,0.449174,0.598374,0.153648,1,0.0741963
0.682337,0.291452,0.718134,0.598466,0.117064,0,0
0.320188,0.468029,0.456699,0.598526,0.103098,0,0
0.818604,0.364612,0.828772,0.599146,0.0765859,0,0
0.521922,0.728927,0.739751,0.600133,0.156337,0,0
0.607638,0.229462,0.128881,0.600504,0.0631214,0,0
0.303099,0.450782,0.376644,0.600902,0.138171,1,0.127676
0.493175,0.542017,0.811507,0.601075,0.0784158,1,0.0162539
0.0542261,0.0468238,0.742419,0.601249,0.134878,1,0.237305
0.93404,0.24452,0.655803,0.601458,0.177124,0,0
0.177034,0.488697,0.132904,0.601693,0.161056,0,0
0.668946,0.25614,0.917663,0.601792,0.14622,0,0
0.616106,0.610457,0.914299,0.602228,0.132897,0,0
0.193245,0.267,0.678293,0.602247,0.0409386,0,0
0.89528,0.274244,0.0533166,0.6027,0.136586,0,0
0.755107,0.174039,0.79272,0.602841,0.139113,0,0
0.0806071,0.54825,0.789263,0.602935,0.0986946,0,0
0.50113,0.774103,0.320516,0.602969,0.0855659,1,0.0456311
0.661747,0.395693,0.799544,0.60304,0.134225,0,0
0.397402,0.0336414,0.514034,0.603213,0.169234,1,0.150881
0.827617,0.177301,0.695373,0.603393,0.132458,1,0.0428154
0.310838,0.787281,0.51635,0.60359,0.122709,1,0.0603161
0.663399,0.662869,0.782553,0.603711,0.14338,0,0
0.893303,0.185865,0.986555,0.603926,0.147555,0,0
0.171666,0.44742,0.942057,0.603973,0.0600533,0,0
0.932075,0.857093,0.586898,0.604502,0.165143,1,0.0673728
0.199747,0.365735,0.955475,0.604605,0.14911,0,0
0.693145,0.579718,0.0869681,0.604922,0.129819,0,0
0.429872,0.634794,0.0277086,0.604929,0.114903,0,0
0.430976,0.439872,0.619401,0.605045,0.126536,0,0
0.140173,0.963969,0.687504,0.6054,0.155491,1,0.0550461
0.599692,0.532352,0.436795,0.606533,0.165053,0,0
0.587105,0.153962,0.88158,0.606853,0.0737002,0,0
0.623684,0.94639,0.606526,0.6071,0.155515,0,0
0.238761,0.259693,0.670298,0.608263,0.043427,0,0
0.563424,0.694197,0.616811,0.608531,0.118698,0,0
0.893297,0.094651,0.0561573,0.609279,0.166083,0,0
0.916505,0.569171,0.658352,0.609295,0.152345,1,0.00143788
0.760345,0.361964,0.470062,0.609441,0.048895,2,0.201782
0.370062,0.620037,0.712716,0.609617,0.16871,0,0
