X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.192032,0.567377,0.384574,0.264369,0.216865,0,0
0.231624,0.521717,0.977493,0.300655,0.163499,0,0
0.726844,0.779157,0.787866,0.306571,0.150137,0,0
0.809645,0.237276,0.464949,0.319144,0.125274,0,0
0.311131,0.221197,0.936951,0.320424,0.174563,0,0
0.0480193,0.171671,0.764502,0.320593,0.174584,0,0
0.462041,0.193622,0.457904,0.323985,0.125212,0,0
0.274745,0.712118,0.464257,0.328554,0.122404,0,0
0.264465,0.0633801,0.248352,0.328604,0.116113,0,0
0.977896,0.330558,0.989498,0.340869,0.10942,0,0
0.459703,0.0760186,0.753151,0.343273,0.0824371,0,0
0.794453,0.875911,0.663317,0.346443,0.124628,0,0
0.172251,0.284182,0.770836,0.350432,0.146742,0,0
0.754935,0.503591,0.359809,0.350886,0.0973471,0,0
0.236742,0.249051,0.123462,0.352703,0.147329,0,0
0.938128,0.749462,0.20178,0.357246,0.111995,0,0
0.673811,0.850124,0.532249,0.358617,0.130016,0,0
0.935878,0.945236,0.0944268,0.358681,0.150822,0,0
0.783276,0.436801,0.415961,0.36209,0.0861429,0,0
0.65453,0.984482,0.886931,0.363872,0.0931669,0,0
0.328692,0.0881166,0.808778,0.364128,0.0891333,0,0
0.735802,0.801991,0.293311,0.36937,0.12475,0,0
0.29519,0.233502,0.682689,0.373134,0.116181,0,0
0.985412,0.0261602,0.821641,0.375147,0.123355,0,0
0.393331,0.217028,0.740225,0.375596,0.0815755,0,0
0.707682,0.614844,0.10539,0.376229,0.134471,0,0
0.677077,0.14605,0.633895,0.379657,0.12024,0,0
0.353328,0.158512,0.776286,0.37969,0.0735714,0,0
0.0991287,0.0125133,0.43585,0.381075,0.144657,0,0
0.511224,0.021036,0.79552,0.381202,0.0396546,0,0
0.419422,0.346013,0.689024,0.382487,0.117084,0,0
0.532182,0.69133,0.290361,0.383581,0.143862,0,0
0.646383,0.363879,0.565,0.386791,0.140346,0,0
0.225611,0.92925,0.549538,0.388203,0.111642,0,0
0.973662,0.587477,0.316455,0.388691,0.110253,0,0
0.767247,0.135729,0.5643,0.391394,0.108503,0,0
0.765556,0.599721,0.406788,0.393348,0.0827154,0,0
0.626529,0.498664,0.661852,0.394146,0.0917047,0,0
0.71592,0.474062,0.774184,0.394213,0.131498,0,0
0.45072,0.515709,0.381192,0.394327,0.0966925,0,0
0.620985,0.935798,0.836874,0.395272,0.0617666,0,0
0.172666,0.313595,0.89132,0.39587,0.101304,0,0
0.322047,0.645411,0.141572,0.397636,0.129637,0,0
0.45047,0.306933,0.896982,0.397753,0.101309,0,0
0.537846,0.955525,0.0781816,0.40027,0.0841458,0,0
0.490695,0.111512,0.729152,0.402389,0.0233214,1,0.0589693
0.268543,0.761538,0.533513,0.402749,0.0482097,0,0
0.780308,0.394197,0.221421,0.40287,0.126809,0,0
0.172725,0.164259,0.872742,0.403282,0.121423,0,0
0.543376,0.787034,0.59517,0.404095,0.108315,0,0
0.899893,0.734214,0.434228,0.404341,0.12941,0,0
0.240982,0.842608,0.295433,0.406776,0.097784,0,0
0.0257281,0.0693552,0.000675263,0.409711,0.0625454,0,0
0.692096,0.805898,0.990192,0.410919,0.115282,0,0
0.699244,0.591395,0.375282,0.411005,0.0650582,0,0
0.501506,0.565754,0.27892,0.411757,0.111375,0,0
0.192052,0.149209,0.191492,0.411941,0.0612857,0,0
0.290193,0.132735,0.249027,0.412876,0.0318402,1,0.0695899
0.651769,0.956584,0.252633,0.413214,0.0953388,0,0
0.804768,0.837837,0.994129,0.413452,0.115911,0,0
0.00659474,0.367755,0.934178,0.414553,0.0357362,1,0.00761912
0.539318,0.670708,0.116927,0.415689,0.0717386,0,0
0.714805,0.862865,0.623966,0.416115,0.0549554,0,0
0.727012,0.525031,0.173605,0.416321,0.0584095,0,0
0.643725,0.380716,0.836091,0.416385,0.113572,0,0
0.507992,0.0382988,0.80878,0.416498,0.00435854,1,0.301944
0.394659,0.693408,0.949613,0.418567,0.118018,0,0
0.525171,0.263757,0.925566,0.418586,0.0647153,0,0
0.953488,0.856702,0.38915,0.418977,0.116013,0,0
0.487417,0.00946679,0.0689808,0.419734,0.0646816,0,0
0.0802198,0.982215,0.987048,0.420046,0.0985073,0,0
0.658962,0.861389,0.311155,0.421377,0.0727425,0,0
0.730837,0.0891752,0.225092,0.42293,0.116676,0,0
0.149433,0.3016,0.422612,0.423927,0.106952,0,0
0.92431,0.983784,0.282968,0.423989,0.129858,0,0
0.199143,0.00927946,0.344625,0.4248,0.0791639,0,0
0.953136,0.603191,0.999551,0.425296,0.0651195,0,0
0.397028,0.198963,0.0198089,0.426748,0.0682386,0,0
0.549866,0.184817,0.874495,0.427125,0.0929397,0,0
0.143874,0.0073773,0.289644,0.427164,0.0511115,0,0
0.419031,0.82367,0.124922,0.427515,0.0906843,0,0
0.0290992,0.335254,0.757175,0.428029,0.111118,0,0
0.628726,0.302701,0.286712,0.428738,0.0402973,0,0
0.931429,0.306568,0.0520805,0.42932,0.0373297,1,0.042277
0.399985,0.435448,0.655824,0.429436,0.0738838,0,0
0.0882813,0.214678,0.461043,0.429788,0.10991,0,0
0.834244,0.964077,0.00741691,0.430004,0.0994499,0,0
0.513304,0.0489827,0.207002,0.430336,0.112654,0,0
0.976154,0.719599,0.0989573,0.431106,0.0766934,0,0
0.673686,0.193152,0.50981,0.43146,0.0936559,0,0
0.699144,0.471898,0.219358,0.431728,0.0677486,0,0
0.224323,0.616536,0.953985,0.431729,0.0324245,1,0.169008
0.970286,0.365936,0.500359,0.431936,0.0920608,0,0
0.158141,0.115658,0.443847,0.432187,0.0510535,0,0
0.726441,0.450695,0.665238,0.433372,0.0799929,0,0
0.056853,0.537534,0.247508,0.433939,0.0964088,0,0
0.96433,0.698895,0.304361,0.433966,0.0789704,0,0
0.869234,0.265232,0.48024,0.434547,0.00987222,1,0.353904
0.148567,0.899179,0.756604,0.434773,0.0921805,0,0
0.198439,0.502258,0.565428,0.435285,0.106869,0,0
0.866249,0.566033,0.228246,0.436575,0.0849519,0,0
0.105667,0.454842,0.138071,0.436623,0.085077,0,0
0.127992,0.870347,0.016804,0.43691,0.106854,0,0
0.491731,0.185045,0.530363,0.438014,0.0217591,1,0.223777
0.14798,0.168249,0.190784,0.438484,0.0347424,0,0
0.370367,0.995642,0.562644,0.439094,0.0530688,0,0
0.156569,0.280978,0.249177,0.43912,0.109276,0,0
0.648495,0.779777,0.341925,0.439468,0.0673191,0,0
0.895061,0.454083,0.63684,0.439557,0.0574512,0,0
0.869676,0.757358,0.216703,0.440231,0.0290105,1,0.0885212
0.428741,0.398072,0.832461,0.441207,0.0873723,0,0
0.253328,0.787936,0.614831,0.441836,0.0672953,0,0
0.600609,0.0407918,0.848255,0.441924,0.0480026,0,0
0.578196,0.311909,0.372123,0.442663,0.0927021,0,0
0.566871,0.708758,0.545946,0.442679,0.0761136,0,0
0.656335,0.266177,0.947689,0.443533,0.0454805,0,0
0.217414,0.233697,0.494579,0.443595,0.0799378,0,0
0.888444,0.474091,0.585612,0.443673,0.053335,0,0
0.435625,0.243436,0.425352,0.444195,0.00500121,1,0.423184
0.212988,0.207266,0.569283,0.44474,0.0787931,0,0
0.725797,0.794338,0.867462,0.444771,0.0119377,1,0.352689
0.745152,0.242001,0.802191,0.444916,0.114333,0,0
0.507661,0.366621,0.226099,0.444984,0.1241,0,0
0.0138819,0.436414,0.0890285,0.445366,0.0595325,0,0
0.989144,0.321284,0.216132,0.445426,0.0784692,0,0
0.696075,0.38456,0.119428,0.445559,0.111285,0,0
0.548694,0.648194,0.49232,0.445899,0.0755326,0,0
0.303011,0.0329027,0.920867,0.445941,0.0866552,0,0
0.662572,0.529946,0.993339,0.446895,0.112308,0,0
0.019486,0.849944,0.895428,0.447487,0.0777218,0,0
0.348692,0.08697,0.980615,0.448038,0.0808272,0,0
0.355354,0.186271,0.705275,0.448452,0.0236532,1,0.106312
0.30885,0.923853,0.903487,0.448649,0.0961392,0,0
0.977468,0.464622,0.000356325,0.448992,0.0804415,0,0
0.43245,0.186125,0.67057,0.44923,0.0488402,0,0
0.138012,0.50419,0.189974,0.44961,0.07209,0,0
0.923169,0.835112,0.266236,0.449642,0.0620348,0,0
0.147322,0.780535,0.0850184,0.450334,0.0854979,0,0
0.393564,0.664044,0.606313,0.450643,0.0596521,0,0
0.419184,0.838188,0.202671,0.450697,0.0268162,0,0
0.194459,0.893191,0.126059,0.451192,0.08766,0,0
0.243522,0.0192761,0.500832,0.452127,0.0682078,0,0
0.016311,0.792633,0.140645,0.452183,0.0607619,0,0
0.293394,0.622355,0.309656,0.452473,0.0434609,1,0.18395
0.1889,0.598969,0.993091,0.45296,0.0134934,1,0.349482
0.955424,0.645844,0.971276,0.453084,0.0373314,0,0
0.0477847,0.589085,0.0276125,0.45318,0.0628077,0,0
0.826515,0.298126,0.555435,0.45339,0.043218,1,0.108324
0.650706,0.315172,0.274775,0.453435,0.0156,0,0
0.971234,0.126091,0.70417,0.45423,0.0409469,1,0.120037
0.857416,0.0950036,0.184572,0.455436,0.101261,0,0
0.729875,0.492497,0.152623,0.455502,0.0192287,1,0.00465903
0.858298,0.154018,0.908033,0.455532,0.0632768,0,0
0.487722,0.113265,0.475015,0.455919,0.0201119,1,0.266355
0.871785,0.248018,0.244164,0.456125,0.060096,0,0
0.546506,0.61987,0.115852,0.456457,0.0309712,0,0
0.21633,0.0104515,0.709804,0.456631,0.0543566,0,0
0.258893,0.932634,0.246727,0.457019,0.0666669,0,0
0.0193132,0.148427,0.450093,0.457092,0.0748973,0,0
0.244112,0.675445,0.816115,0.457269,0.0961659,0,0
0.0618759,0.0706096,0.987016,0.457476,0.0147805,1,0.117709
0.223067,0.691773,0.723874,0.457581,0.0865879,0,0
0.342254,0.658971,0.873651,0.457601,0.0789844,0,0
0.30828,0.849517,0.395121,0.457638,0.0774374,0,0
0.545448,0.9341,0.197592,0.45779,0.0927944,0,0
0.0735977,0.0465795,0.876223,0.457862,0.0643438,0,0
0.824782,0.568047,0.473955,0.457925,0.0598643,0,0
0.560626,0.564108,0.691234,0.45794,0.0655173,0,0
0.172783,0.984519,0.54403,0.458179,0.0416656,0,0
0.432762,0.170804,0.885665,0.458205,0.0635559,0,0
0.264982,0.032361,0.713557,0.458365,0.0526226,0,0
0.00484187,0.950678,0.485112,0.45844,0.0518957,0,0
0.90926,0.830819,0.00056082,0.459074,0.0643359,0,0
0.888538,0.637944,0.68194,0.459177,0.0907072,0,0
0.401907,0.493234,0.92996,0.459484,0.099658,0,0
0.158312,0.78677,0.57905,0.459496,0.0880655,0,0
0.18377,0.0655164,0.288597,0.459639,0.024682,1,0.226362
0.6255,0.17044,0.798901,0.459761,0.0915791,0,0
0.948043,0.308166,0.159429,0.459863,0.0510114,0,0
0.76163,0.885676,0.889243,0.460098,0.074345,1,0.00800186
0.339093,0.333017,0.426858,0.460177,0.09182,0,0
0.278455,0.395004,0.741698,0.460177,0.067159,0,0
0.9535,0.557654,0.387007,0.460288,0.0434071,0,0
0.28022,0.513034,0.188621,0.460351,0.0523029,0,0
0.98265,0.967858,0.87721,0.460678,0.0378243,1,0.0306571
0.849888,0.593283,0.793904,0.460785,0.0715012,0,0
0.782662,0.137991,0.673495,0.461034,0.0723658,0,0
0.186477,0.0932256,0.440403,0.461686,0.0215547,0,0
0.246953,0.135839,0.238752,0.461779,0.00857338,2,0.385933
0.690933,0.0449888,0.856409,0.461783,0.0279718,1,0.136388
0.501711,0.550056,0.529029,0.46185,0.106855,0,0
0.633502,0.552238,0.291475,0.462303,0.0807361,0,0
0.999652,0.566561,0.799197,0.462733,0.0928406,0,0
0.86392,0.224143,0.771886,0.462772,0.0700062,0,0
0.561614,0.593095,0.0695487,0.462856,0.0523807,0,0
0.802473,0.809137,0.652675,0.463227,0.00969784,1,0.357574
0.719186,0.664822,0.315162,0.463249,0.0708503,0,0
0.447957,0.457407,0.436761,0.463768,0.0458696,0,0
0.772089,0.0864069,0.0494118,0.465234,0.0980292,0,0
0.348508,0.579334,0.976755,0.465313,0.0479863,1,0.131768
0.613546,0.642288,0.482937,0.465378,0.0560529,0,0
0.944355,0.101945,0.128237,0.465991,0.070496,0,0
0.830948,0.175033,0.97966,0.466178,0.0741755,0,0
0.303681,0.121568,0.0244892,0.466194,0.0599463,1,0.0487043
0.129959,0.0474412,0.964372,0.466211,0.0620218,0,0
0.538922,0.192723,0.493227,0.466254,0.0134777,1,0.340712
0.496595,0.74796,0.132525,0.466353,0.0643143,0,0
0.0689983,0.318631,0.505592,0.466381,0.0789257,0,0
0.587265,0.155192,0.0313493,0.46677,0.0698383,0,0
0.680347,0.262048,0.924337,0.466999,0.0220144,0,0
0.299005,0.886361,0.614983,0.467551,0.0676068,0,0
0.286636,0.328796,0.178535,0.467569,0.0420446,1,0.0268957
0.284547,0.419969,0.957992,0.467586,0.0328705,1,0.217452
0.199172,0.366826,0.399936,0.467622,0.0632567,1,0.00494001
0.403087,0.805571,0.560528,0.467931,0.0603315,0,0
0.414088,0.617925,0.613084,0.468084,0.0422106,0,0
0.488536,0.440735,0.407994,0.468375,0.0501576,0,0
0.988007,0.0978498,0.948864,0.468895,0.0405452,0,0
0.189834,0.627768,0.888913,0.469211,0.0557576,1,0.0838083
0.920457,0.85176,0.0548343,0.469263,0.0188821,1,0.0384831
0.94921,0.889146,0.482007,0.469275,0.0733052,0,0
0.241956,0.0350723,0.80509,0.469355,0.0491237,1,0.0171501
0.793476,0.517471,0.972727,0.469542,0.0882126,0,0
0.145977,0.542395,0.257508,0.46955,0.0348538,1,0.246415
0.41206,0.559762,0.373962,0.469601,0.0214185,1,0.137315
0.159229,0.158974,0.417418,0.469603,0.0320463,0,0
0.975065,0.540711,0.254585,0.469699,0.0370648,1,0.0221677
0.63983,0.0546226,0.683989,0.469791,0.0656388,0,0
0.579589,0.489429,0.0618604,0.470097,0.0678671,0,0
0.618461,0.280153,0.818128,0.470186,0.0783318,0,0
0.788005,0.536626,0.437159,0.470202,0.0307189,3,0.160102
0.430121,0.844235,0.214209,0.470312,0.00720155,1,0.0766004
0.375425,0.841907,0.417058,0.47042,0.0646551,0,0
0.411163,0.769391,0.342511,0.470531,0.107604,0,0
0.362732,0.493544,0.20699,0.470592,0.0816294,0,0
0.869277,0.354135,0.84354,0.470657,0.0720809,0,0
0.385058,0.90905,0.085723,0.470728,0.078295,0,0
0.338554,0.646632,0.283934,0.47085,0.0481735,1,0.0304588
0.132462,0.985682,0.305399,0.471106,0.00716883,1,0.253988
0.85385,0.51535,0.865687,0.47115,0.075413,0,0
0.609049,0.959074,0.0176949,0.471243,0.0580071,0,0
0.128845,0.436244,0.814154,0.471359,0.100793,0,0
0.367218,0.37064,0.113707,0.471389,0.0705085,0,0
0.667833,0.465679,0.658532,0.47163,0.0142203,1,0.231503
0.363601,0.821203,0.622462,0.471639,0.0732417,0,0
0.804684,0.344531,0.585525,0.472035,0.0497312,0,0
0.249062,0.626499,0.266213,0.472329,0.0400939,1,0.221713
0.368087,0.698298,0.529179,0.472418,0.0426039,1,0.12803
0.957918,0.703204,0.503242,0.472463,0.0612883,0,0
0.789977,0.669362,0.444324,0.472655,0.034509,0,0
0.348806,0.832656,0.883861,0.472777,0.0823774,0,0
0.760578,0.0503816,0.46991,0.472939,0.0805373,0,0
0.961522,0.521285,0.686498,0.473163,0.0833394,0,0
0.764108,0.286441,0.363756,0.473202,0.044342,1,0.134658
0.7474,0.0158228,0.599411,0.473321,0.0855447,0,0
0.0544421,0.732743,0.692676,0.473436,0.0952657,0,0
0.496172,0.837666,0.20298,0.473527,0.0655755,0,0
0.83807,0.423055,0.498236,0.473681,0.0440067,1,0.0590603
0.76699,0.940906,0.710361,0.473755,0.0211478,1,0.250627
0.518895,0.62599,0.144744,0.473937,0.0234614,1,0.0155922
0.816863,0.543984,0.519185,0.473972,0.0438172,0,0
0.242209,0.169087,0.0387642,0.474035,0.0559438,2,0.0751733
0.932594,0.857143,0.0645261,0.474152,0.0139933,1,0.120234
0.864485,0.342837,0.220655,0.474275,0.0629085,0,0
0.230797,0.252558,0.615188,0.474537,0.0445144,1,0.03249
0.708589,0.0757625,0.824565,0.474586,0.0412725,0,0
0.673968,0.684713,0.798794,0.474895,0.024626,1,0.273633
0.280419,0.64686,0.939802,0.475307,0.0435368,1,0.125961
0.542486,0.741972,0.50198,0.475311,0.0439406,0,0
0.528412,0.917041,0.60003,0.476494,0.0848687,0,0
0.643422,0.0665846,0.30872,0.476535,0.0752818,0,0
0.540296,0.78841,0.376048,0.476683,0.0831894,0,0
0.876487,0.915534,0.959516,0.477065,0.0566912,0,0
0.195089,0.713025,0.0551774,0.477491,0.0424371,0,0
0.012691,0.212791,0.339268,0.477692,0.0793099,0,0
0.141997,0.933328,0.818139,0.477771,0.049183,0,0
0.970761,0.140847,0.0415959,0.478029,0.064871,0,0
0.45273,0.781706,0.692059,0.478047,0.0554822,0,0
0.668455,0.509799,0.339259,0.478089,0.0255032,1,0.213784
0.814306,0.605555,0.695664,0.478125,0.0641616,0,0
0.0997432,0.0705859,0.746847,0.478238,0.0360914,1,0.185927
0.947465,0.352949,0.842002,0.478308,0.0743866,0,0
0.643953,0.872089,0.642583,0.47844,0.0426723,1,0.0147306
