X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.0147742,0.106409,0.0605915,0,0,1,0
0.651173,0.0242205,0.00645623,0.01707,0.143455,0.0802628,0,0,1,0
0.157383,0.122347,0.870363,0.0250674,0.145024,0.0850459,0,0,1,0
0.539027,0.0364297,0.87754,0.0257277,0.112428,0.0690778,0,0,1,0
0.820687,0.875197,0.367458,0.0276719,0.14201,0.0848409,0,0,1,0
0.703563,0.361467,0.214394,0.0281079,0.164094,0.0961011,0,0,1,0
0.412447,0.841522,0.854283,0.0285506,0.0854126,0.0569816,0,0,1,0
0.00745795,0.299526,0.517687,0.0285634,0.111702,0.0701327,0,0,1,0
0.568933,0.995371,0.312242,0.0286561,0.137483,0.0830694,0,0,1,0
0.148146,0.654277,0.148022,0.0292663,0.119801,0.0745338,0,0,1,0
0.517129,0.887649,0.999645,0.0294156,0.103068,0.0662418,0,0,1,0
0.434497,0.234344,0.936904,0.0301405,0.11627,0.0732053,0,0,1,0
0.656684,0.0551614,0.312946,0.0328858,0.134843,0.0838644,0,0,1,0
0.475196,0.0604497,0.918424,0.0329116,0.092964,0.0629378,0,0,1,0
0.913803,0.321509,0.222892,0.0329421,0.137537,0.0852397,0,0,1,0
0.565381,0.829051,0.79233,0.0333487,0.147651,0.0904999,0,0,1,0
0.017503,0.863004,0.741951,0.0334711,0.0728741,0.0531726,0,0,1,0
0.121175,0.010545,0.308559,0.0336744,0.118725,0.0761997,0,0,1,0
0.891111,0.0129927,0.433588,0.0339032,0.117869,0.0758859,0,0,1,0
0.955133,0.192877,0.353345,0.0345689,0.117724,0.0761465,0,0,1,0
0.0298876,0.564475,0.282787,0.034871,0.110264,0.0725677,0,0,1,0
0.515289,0.993529,0.507423,0.0350719,0.104769,0.0699202,0,0,1,0
0.950051,0.256905,0.919858,0.0358887,0.140341,0.0881148,0,0,1,0
0.788819,0.762391,0.236912,0.0364084,0.137408,0.0869083,0,0,1,0
0.0996677,0.230049,0.335824,0.0364511,0.0780689,0.05726,0,0,1,0
0.744955,0.662878,0.715616,0.0366621,0.128849,0.0827558,0,0,1,0
