OriginTime,MinWait
5.89446,0.000188365
7.03192,0.00153966
7.42851,0.00193083
7.68301,0.00229918
7.88958,0.00337228
8.05476,0.00400984
8.19976,0.00439367
8.33169,0.00479903
8.45431,0.00525277
8.56082,0.00562617
8.65851,0.00594118
8.74192,0.00626255
8.82346,0.0067012
8.89719,0.00725784
8.96196,0.00782914
9.02396,0.00833818
9.08598,0.00901776
9.14115,0.00964291
9.19062,0.00999439
9.24211,0.0102539
9.29137,0.0104942
9.33631,0.0107178
9.37653,0.0109505
9.417,0.0111869
9.45858,0.0114257
9.49569,0.0116702
9.53242,0.0119141
9.56765,0.0121682
9.60232,0.0124117
9.63579,0.0126652
9.66868,0.0129042
9.7004,0.0131499
9.73069,0.013395
9.76002,0.0136488
9.78923,0.0139079
9.81675,0.0141895
9.84471,0.0144897
9.87251,0.0147892
9.89928,0.015092
9.92487,0.0154199
9.95067,0.0157467
9.9764,0.0160838
10.0001,0.0164352
10.0233,0.0168191
10.0467,0.017198
10.0695,0.0175971
10.0917,0.0180036
10.1135,0.0184208
10.1355,0.0188641
10.1572,0.0193363
10.1779,0.0198301
10.1986,0.0203786
10.2182,0.0209433
10.2374,0.0215373
10.2575,0.0221945
10.2761,0.022871
10.2952,0.0235958
10.3147,0.0243153
10.3329,0.0250379
10.351,0.0257689
10.3674,0.0264416
10.3853,0.027121
10.4034,0.027742
10.4199,0.0283051
10.4368,0.0288762
10.4531,0.029386
10.4695,0.0298607
10.486,0.0303279
10.5018,0.0307788
10.5179,0.0312583
10.5335,0.0317126
10.5481,0.0321417
10.5628,0.0325874
10.5783,0.0330214
10.5931,0.0334774
10.6084,0.0339324
10.6233,0.0343749
10.6374,0.0347909
10.6516,0.0352207
10.6663,0.0356563
10.6803,0.0360796
10.6936,0.0364902
10.707,0.0368955
10.7207,0.0372947
10.7338,0.0376911
10.7465,0.0380853
10.7599,0.0384838
10.7732,0.0388899
10.786,0.0392792
10.7982,0.0396818
10.8109,0.0400756
10.8226,0.0404684
10.8348,0.0408671
10.8469,0.0412915
10.8587,0.0417175
10.8706,0.0421453
10.882,0.0425794
10.8935,0.0430201
10.9049,0.0434659
10.9166,0.0439088
10.9274,0.0443495
10.9388,0.0447947
10.9498,0.0452324
10.9609,0.0456722
10.9721,0.0461085
10.9832,0.0465417
10.9933,0.0469771
11.004,0.047397
11.0147,0.0478186
11.0252,0.0482306
11.0355,0.0486558
11.0458,0.0490634
11.0557,0.049479
11.0658,0.0498826
11.0759,0.0503043
11.0854,0.0507118
11.0954,0.0511186
11.1057,0.051537
11.1151,0.0519637
11.1245,0.0524048
11.1343,0.0528728
11.1436,0.0533383
11.1532,0.0538234
11.1625,0.0543115
11.1718,0.0548433
11.1811,0.0553736
11.1903,0.0559272
11.1989,0.0565555
11.2074,0.0571807
11.2162,0.0578428
11.2253,0.0585
11.2342,0.059172
11.243,0.0598374
11.2519,0.0604987
11.2608,0.061169
11.2691,0.0618321
