OriginTime,MinWait
6.02133,0.000192419
7.36076,0.0015728
7.77477,0.00201949
8.04597,0.00240827
8.24683,0.00354115
8.42846,0.00419621
8.58518,0.00460112
8.72451,0.005037
8.85205,0.00550247
8.96466,0.00589759
9.06887,0.00621755
9.16012,0.00657644
9.24063,0.00703271
9.31218,0.00764168
9.37984,0.00820346
9.44585,0.00874873
9.50514,0.00946888
9.56344,0.0101008
9.61849,0.0104523
9.67137,0.0107162
9.72006,0.0109789
9.76542,0.0112334
9.81042,0.0114741
9.85427,0.0117271
9.897,0.0119689
9.9375,0.0122238
9.9765,0.012482
10.0148,0.0127595
10.0496,0.0130229
10.0845,0.0132791
10.1189,0.013524
10.1516,0.0137837
10.1847,0.0140302
10.2167,0.0143064
10.2477,0.0145942
10.2765,0.0148834
10.3062,0.015195
10.3346,0.0155128
10.3605,0.0158193
10.388,0.0161536
10.4145,0.0165054
10.4414,0.0168797
10.4652,0.0172391
10.4907,0.01763
10.5151,0.0180475
10.5387,0.0184392
10.5604,0.0188616
10.5835,0.0193171
10.6069,0.0197739
10.6289,0.0202815
10.6503,0.0208071
10.6721,0.0213823
10.6934,0.0219619
10.713,0.0225819
10.7344,0.0232714
10.7551,0.0240096
10.7749,0.0247299
10.7938,0.0254821
10.8138,0.0262454
10.8327,0.0269924
10.8516,0.0277468
10.8701,0.0283972
10.8876,0.0290434
10.9049,0.0296785
10.9232,0.0302389
10.9413,0.0307623
10.959,0.0312713
10.9758,0.0317719
10.9923,0.032246
11.0088,0.032718
11.026,0.0332111
11.0423,0.033693
11.0578,0.034179
11.0738,0.0346134
11.0889,0.03507
11.1045,0.0355355
11.1195,0.0360056
11.1343,0.0364738
11.1487,0.0369295
11.1633,0.0373516
11.1784,0.0377908
11.1927,0.0382337
11.2055,0.0386585
11.2198,0.0390831
11.2338,0.0394976
11.2481,0.0399051
11.2618,0.0403179
11.2753,0.040729
11.2882,0.0411549
11.3017,0.0415753
11.3137,0.0420031
11.3264,0.0424221
11.3394,0.0428477
11.3525,0.0432814
11.3651,0.0437385
11.3774,0.0441781
11.39,0.0446529
11.4023,0.0450981
11.414,0.0455614
11.426,0.0460239
11.4383,0.046493
11.4501,0.0469575
11.4613,0.0474077
11.4727,0.0478644
11.4842,0.0483188
11.4966,0.048761
11.5078,0.0492273
11.5182,0.0496758
11.5289,0.0501311
11.5394,0.0505782
11.5502,0.0510119
11.5609,0.0514117
11.572,0.0518312
11.5827,0.0522618
11.5933,0.0526915
11.6045,0.0531515
11.6149,0.0535853
11.6246,0.0540116
11.6351,0.0544594
11.645,0.0549405
11.655,0.055403
11.6648,0.0558825
11.6744,0.056422
11.6841,0.0569532
11.6934,0.0575505
11.7036,0.0581177
11.7134,0.0587124
11.7226,0.0593561
11.7317,0.0600082
11.7406,0.0606845
11.7499,0.0613923
11.7595,0.0620766
11.769,0.0627682
11.7777,0.06342
11.7872,0.0640996
11.7961,0.0648137
11.8049,0.0655028
11.8141,0.0662048
11.8227,0.0668623
11.8314,0.0675957
11.84,0.0682851
11.8485,0.0689738
11.8571,0.0696678
11.8653,0.0703309
11.8737,0.070988
11.8824,0.0716703
11.8906,0.0723508
11.8989,0.0730487
11.9073,0.0737307
11.9151,0.0743855
11.9233,0.0750606
11.9313,0.0757314
11.9395,0.0764189
11.9477,0.0771375
11.9557,0.0778314
11.9636,0.0785339
11.9713,0.0792301
11.9796,0.0799436
11.9876,0.0806493
11.9951,0.081363
12.0029,0.0820673
12.0105,0.0828222
12.0181,0.0835767
12.0254,0.084344
12.0329,0.0851728
12.0405,0.0859369
12.0483,0.0867389
12.0557,0.0875059
12.0628,0.0882792
12.0699,0.08902
12.0771,0.0897689
12.0846,0.0905307
12.0914,0.0912506
12.0989,0.091978
12.1059,0.0926802
12.1131,0.0933831
12.12,0.0940423
12.1273,0.0947091
12.1342,0.0954023
12.1414,0.096104
12.1485,0.0967836
12.1554,0.0974751
12.1628,0.0981433
12.1698,0.0987559
12.1769,0.0993788
12.1837,0.100007
12.1906,0.100616
12.197,0.101225
12.2038,0.101841
12.2108,0.102461
12.2175,0.103104
12.224,0.103697
12.2309,0.104322
12.2375,0.104921
12.2438,0.105514
12.2503,0.106076
12.2566,0.106672
12.2632,0.107249
12.2696,0.107859
12.2762,0.108447
12.283,0.109056
12.2891,0.109662
12.2953,0.11029
12.3019,0.110877
12.3083,0.111492
12.3144,0.112088
12.3211,0.112695
12.3274,0.113255
12.334,0.113867
12.3404,0.114485
12.3469,0.115082
12.353,0.115662
12.3591,0.116281
12.3656,0.116859
12.3717,0.117464
12.3776,0.118033
12.3834,0.118648
12.3894,0.11923
12.3956,0.119827
12.4017,0.1204
12.4072,0.120972
12.4133,0.121596
12.4189,0.122183
12.4245,0.122796
12.4301,0.123372
12.4365,0.123971
12.4423,0.124556
12.448,0.125169
12.4539,0.125793
12.4599,0.126355
12.4659,0.126951
12.4717,0.12755
12.4774,0.128147
12.4829,0.128738
12.4887,0.129326
12.4943,0.129893
12.5,0.130482
12.5059,0.131099
12.5117,0.131688
12.5176,0.132273
12.5231,0.132888
12.5286,0.13352
12.534,0.134081
12.5395,0.134704
12.5451,0.135316
12.5508,0.135895
12.5563,0.1365
12.5619,0.137079
12.5676,0.137669
12.5732,0.138241
12.5786,0.138843
12.5839,0.139459
12.5891,0.140036
12.5943,0.140629
12.5999,0.141194
12.6054,0.141851
12.6106,0.142417
12.6159,0.143033
12.6213,0.143633
12.6266,0.144191
12.6319,0.144795
12.637,0.145359
12.6424,0.145905
12.6475,0.146482
12.6528,0.14705
12.6578,0.147616
12.663,0.1482
12.6684,0.148758
12.6736,0.1493
12.6786,0.149897
12.6837,0.150478
12.6887,0.151048
