OriginTime,MinWait
6.89948,0.000175918
8.01507,0.000603207
8.28392,0.00155902
8.49544,0.00311827
8.68505,0.00388814
8.84777,0.00418972
8.99694,0.00443248
9.1212,0.0046828
9.23207,0.00504341
9.33675,0.00579339
9.42179,0.00642377
9.5044,0.00678183
9.57731,0.00707469
9.64435,0.00734671
9.70816,0.00761206
9.76377,0.007887
9.8169,0.00814512
9.87002,0.00841401
9.91603,0.00867951
9.96358,0.00897146
10.0067,0.00928474
10.0452,0.0096687
10.0846,0.0101476
10.1226,0.0108789
10.1581,0.0119849
10.1947,0.0130919
10.2286,0.0138291
10.2613,0.0143883
10.2929,0.0148667
10.3231,0.0152785
10.3521,0.0156876
10.3803,0.0160636
10.4082,0.0164201
10.4358,0.0168014
10.4621,0.0171875
10.4865,0.0175491
10.512,0.0179248
10.5367,0.0183149
10.5618,0.0187098
10.5852,0.0190715
10.6062,0.0194505
10.6291,0.0198072
10.6517,0.0201684
10.674,0.0205638
10.6948,0.0209447
10.7152,0.0213296
10.7363,0.0217699
10.7559,0.0222093
10.7758,0.0226544
10.7956,0.0231459
10.8157,0.0236293
10.8342,0.0241185
10.8529,0.024615
10.8709,0.025125
10.8887,0.0256294
10.9063,0.0261465
10.9246,0.0266795
10.9417,0.0272129
10.9578,0.0277618
10.9746,0.028308
10.9917,0.0288379
11.0072,0.0293684
11.0233,0.0298536
11.0392,0.0303092
11.0546,0.0307527
11.0688,0.0312166
11.0844,0.0316338
11.0995,0.0320565
11.1144,0.0324763
11.1288,0.032898
11.1427,0.0332962
11.1568,0.0336738
11.1709,0.0340708
11.1841,0.0344621
11.1973,0.0348653
11.211,0.0352512
11.2253,0.0356368
11.2394,0.0360345
11.2525,0.0364439
11.2657,0.0368708
11.2783,0.0372841
11.2907,0.0377134
11.3026,0.0381909
11.3153,0.0386583
11.3279,0.0391631
11.3408,0.0396665
11.3529,0.0402043
11.3653,0.0407486
11.3771,0.0413446
11.3891,0.041921
11.4015,0.0425144
11.4133,0.0431196
11.4251,0.0436917
11.4359,0.0442647
11.4474,0.0447994
11.4584,0.0453731
11.469,0.0459
11.4805,0.0463912
11.4909,0.0468788
11.5012,0.0473395
11.5117,0.0478092
11.5223,0.0482594
11.5328,0.0486727
11.5429,0.0490774
11.5535,0.0494845
11.5637,0.0498729
11.5734,0.0502496
11.5836,0.0506303
11.5937,0.0510076
11.6036,0.0513978
11.6135,0.0517757
11.6229,0.0521485
11.6323,0.0525235
11.6417,0.052927
11.6511,0.0532939
11.6605,0.0536912
11.6699,0.0540673
11.6788,0.0544383
11.6874,0.0548148
11.6964,0.0552107
11.706,0.0556149
11.7153,0.0560534
11.7242,0.0564481
11.7335,0.0568508
11.742,0.0572934
11.7504,0.0576902
11.759,0.0581495
11.7679,0.0586033
11.7762,0.059062
11.785,0.0595131
11.7933,0.0599807
11.8019,0.0604538
11.8101,0.0609643
11.8184,0.0614526
11.8266,0.0619541
11.8346,0.0624262
11.8427,0.0629447
11.8509,0.0634556
11.8591,0.0639695
11.8678,0.0644862
11.8757,0.0650183
11.8837,0.0655553
11.8914,0.0660738
11.8991,0.066637
11.9072,0.0671669
11.9153,0.0676775
11.9228,0.0682258
11.93,0.068772
11.9372,0.0693061
11.9449,0.0698426
11.9528,0.0703786
11.9601,0.0708994
11.9676,0.0714001
11.9754,0.0719317
11.9827,0.0724515
11.99,0.0729567
11.9975,0.0734492
12.0046,0.0739368
12.0114,0.0744402
12.019,0.0749648
12.0262,0.075483
12.0333,0.0759998
12.0405,0.0765064
12.0482,0.0769989
12.0552,0.0774854
12.0622,0.0779929
12.0693,0.0784941
12.0762,0.0789812
12.083,0.0794884
12.0897,0.0799514
12.0961,0.0804659
12.1025,0.0809471
12.1096,0.0814462
12.1164,0.0819349
12.1233,0.0824021
12.1297,0.082893
12.1365,0.083364
12.1432,0.0838497
12.1497,0.084329
12.1566,0.0848445
12.1635,0.0853195
12.1698,0.085817
12.1766,0.0863178
12.183,0.0868231
12.189,0.0873077
12.1954,0.0877789
12.2018,0.0882571
12.2079,0.0887394
12.214,0.0892094
12.2198,0.0897151
12.226,0.090206
12.2324,0.0906902
12.2387,0.0911515
12.2448,0.091647
12.2507,0.0921221
12.2565,0.092608
12.2623,0.0930831
12.268,0.0935621
12.274,0.0940338
12.2801,0.0945038
12.286,0.094977
12.292,0.095439
12.2982,0.0959101
12.3041,0.0963863
12.3098,0.0968551
12.3159,0.0973303
12.322,0.0978035
12.3276,0.0982954
12.3335,0.0987803
12.3392,0.0992332
12.345,0.0997036
12.3506,0.100156
12.3562,0.100626
12.3621,0.101082
12.3676,0.101576
12.3732,0.102051
12.3785,0.102521
12.3842,0.103013
12.3898,0.103487
12.3951,0.103962
12.4008,0.104445
12.4063,0.10494
12.4119,0.105404
12.4171,0.105883
12.4227,0.106362
12.4281,0.106874
12.4336,0.107341
12.4391,0.107844
12.4445,0.108361
12.45,0.108851
12.4555,0.109359
12.4608,0.109849
12.4657,0.110347
12.4711,0.11086
12.4763,0.111358
12.4814,0.11191
12.4868,0.112428
12.4921,0.112961
12.4975,0.113481
12.5027,0.114
12.508,0.114528
12.5129,0.115055
12.5182,0.115592
12.5233,0.11614
12.5285,0.116668
12.5338,0.117205
12.539,0.117716
12.544,0.118273
12.5494,0.118824
12.5545,0.119371
12.5597,0.119916
12.5649,0.120458
12.5699,0.120999
12.5749,0.121544
12.58,0.122116
12.5849,0.122666
12.5898,0.123214
12.5945,0.12378
12.5991,0.124352
12.604,0.124906
12.609,0.125505
12.6139,0.126138
12.6188,0.126723
12.6239,0.127322
12.6288,0.127937
12.6333,0.128504
12.6383,0.129091
12.6436,0.129685
12.6484,0.130286
12.6533,0.130905
12.6583,0.131521
12.6629,0.132137
12.6675,0.13273
12.6722,0.133334
12.677,0.133966
12.6817,0.134591
12.6865,0.135201
12.6912,0.135813
12.6961,0.136434
12.7004,0.13708
12.7049,0.137661
12.7096,0.138288
12.7144,0.13886
12.719,0.139491
12.7239,0.140131
12.7285,0.140738
12.733,0.141365
12.7375,0.141986
12.742,0.142584
12.7467,0.143217
12.7515,0.143828
12.7561,0.144433
