X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
2.40541,0.758759,1.05162,0.178304,0.178405,0,0
2.36768,3.98034,1.18841,0.187472,0.170049,0,0
0.658852,1.1761,1.23383,0.1911,0.157183,0,0
2.36963,1.72904,1.96953,0.206376,0.180713,0,0
0.335869,2.31657,1.75537,0.206426,0.204043,0,0
2.79409,0.304873,1.76711,0.210843,0.161017,0,0
0.373646,1.55913,3.83419,0.211556,0.18654,0,0
2.45618,1.02006,3.58661,0.217322,0.126183,0,0
2.59233,0.605091,2.16254,0.218481,0.162642,0,0
0.0290214,2.28594,0.680549,0.21993,0.151674,0,0
1.46338,3.29967,2.77039,0.221994,0.165326,0,0
2.34135,3.65012,2.28825,0.224006,0.156616,0,0
2.4058,2.01669,3.17391,0.224109,0.147541,0,0
2.45516,0.224834,1.74539,0.231299,0.164233,0,0
2.20904,2.13919,3.34083,0.233564,0.0656939,0,0
0.812557,3.81447,3.5186,0.238317,0.0632027,0,0
0.476558,0.903301,3.44792,0.238746,0.13384,0,0
2.66612,3.3223,2.97083,0.239589,0.144405,0,0
2.66126,1.85821,2.18576,0.240298,0.16643,0,0
1.73836,2.67738,1.20919,0.24134,0.100916,0,0
1.03433,2.79505,1.91511,0.243482,0.146617,0,0
0.983484,1.55845,1.19942,0.244424,0.111284,0,0
3.76741,0.729047,2.93279,0.24482,0.161645,0,0
3.81971,0.00124,2.63647,0.245314,0.0912838,0,0
1.6731,3.61543,1.43186,0.245762,0.125784,0,0
2.20061,2.47322,0.0926475,0.246201,0.173773,0,0
1.7292,3.7527,2.33726,0.246632,0.128646,0,0
2.19228,2.90847,3.28414,0.248155,0.150219,0,0
2.94638,2.31271,0.714366,0.250141,0.154727,0,0
3.76055,1.21809,0.372714,0.250373,0.147813,0,0
1.56974,2.53611,2.24862,0.250732,0.107067,0,0
2.91471,1.05141,1.44017,0.251164,0.154126,0,0
1.24079,3.86602,0.159058,0.251594,0.159922,0,0
0.596229,3.46004,2.88069,0.252578,0.121766,0,0
2.54448,0.27899,2.33821,0.252614,0.155129,0,0
1.28917,1.62295,0.165429,0.252877,0.151604,0,0
3.37771,0.468451,0.58651,0.254326,0.118049,0,0
3.48065,1.92096,0.443807,0.257023,0.10479,0,0
1.6151,2.60496,1.09045,0.257331,0.0849249,0,0
0.733454,0.503501,2.94528,0.257392,0.110766,0,0
