X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.601353,0.18969,0.262906,0.178304,0.0966555,0,0
0.591919,0.995085,0.297102,0.187472,0.094322,0,0
0.164713,0.294026,0.308457,0.1911,0.0895059,0,0
0.592407,0.43226,0.492382,0.206376,0.0651293,0,0
0.0839672,0.579141,0.438843,0.206426,0.113919,0,0
0.698522,0.0762182,0.441777,0.210843,0.0538433,0,0
0.0934115,0.389782,0.958546,0.211556,0.0915541,0,0
0.614045,0.255014,0.896652,0.217322,0.0959194,0,0
0.648083,0.151273,0.540636,0.218481,0.0631702,0,0
0.00725534,0.571484,0.170137,0.21993,0.0931342,0,0
0.365846,0.824917,0.692596,0.221994,0.0851427,0,0
0.585337,0.912531,0.572062,0.224006,0.0620394,0,0
0.601449,0.504173,0.793478,0.224109,0.0404306,0,0
0.613791,0.0562084,0.436349,0.231299,0.0333871,0,0
0.552259,0.534797,0.835208,0.233564,0.030976,0,0
0.203139,0.953617,0.87965,0.238317,0.0723719,0,0
0.119139,0.225825,0.86198,0.238746,0.0538502,0,0
0.666529,0.830576,0.742706,0.239589,0.0545339,0,0
0.665314,0.464552,0.546441,0.240298,0.0312067,0,0
0.434591,0.669344,0.302297,0.24134,0.0312257,0,0
0.258582,0.698761,0.478778,0.243482,0.072439,0,0
0.245871,0.389613,0.299854,0.244424,0.0361822,0,0
0.941853,0.182262,0.733197,0.24482,0.0636233,0,0
0.954929,0.000310001,0.659117,0.245314,0.0656399,0,0
0.418276,0.903858,0.357964,0.245762,0.0735419,0,0
0.550152,0.618305,0.0231619,0.246201,0.0854054,0,0
0.4323,0.938174,0.584315,0.246632,0.0504228,0,0
0.54807,0.727119,0.821034,0.248155,0.0656675,0,0
0.736596,0.578177,0.178591,0.250141,0.0792014,0,0
0.940137,0.304522,0.0931786,0.250373,0.0632166,0,0
0.392435,0.634027,0.562154,0.250732,0.0309761,0,0
0.728678,0.262852,0.360043,0.251164,0.0516041,0,0
0.310198,0.966505,0.0397644,0.251594,0.0440841,0,0
0.149057,0.86501,0.720173,0.252578,0.0398613,0,0
0.63612,0.0697475,0.584554,0.252614,0.0296193,0,0
0.322292,0.405739,0.0413573,0.252877,0.0571469,0,0
0.844427,0.117113,0.146627,0.254326,0.0667204,0,0
0.870163,0.48024,0.110952,0.257023,0.0660286,0,0
0.403775,0.65124,0.272612,0.257331,0.0152345,0,0
0.183364,0.125875,0.736321,0.257392,0.0711317,0,0
0.807747,0.738761,0.227646,0.257615,0.0656982,0,0
0.925999,0.805097,0.476672,0.258127,0.0616063,0,0
0.850412,0.0153988,0.777726,0.259776,0.0524047,0,0
0.451872,0.987377,0.481487,0.259896,0.0511997,0,0
0.724217,0.222198,0.742303,0.26171,0.0740322,0,0
0.360417,0.670838,0.54826,0.261957,0.0197512,0,0
0.236359,0.951851,0.022538,0.262537,0.0331409,0,0
0.768707,0.393446,0.472673,0.262552,0.0575812,0,0
0.838232,0.184839,0.590952,0.263167,0.0531899,0,0
0.376322,0.39332,0.363734,0.263202,0.0529606,0,0
0.66688,0.193779,0.349103,0.263262,0.0116977,0,0
0.576153,0.803223,0.0242234,0.263293,0.0727072,0,0
0.289713,0.766961,0.165569,0.264509,0.0639399,0,0
0.0229465,0.920424,0.327246,0.264813,0.0615843,0,0
0.329488,0.891826,0.856188,0.265541,0.0570192,0,0
0.663934,0.470517,0.935104,0.265601,0.0584611,0,0
0.0486897,0.41236,0.690324,0.26598,0.0103514,0,0
0.780037,0.458142,0.873565,0.266399,0.0575042,0,0
0.146503,0.0262505,0.182482,0.267299,0.0257928,0,0
0.436126,0.485246,0.921893,0.267603,0.059558,0,0
0.105915,0.655232,0.590461,0.267835,0.0391414,0,0
0.049517,0.430678,0.693603,0.268055,0.00827616,0,0
0.120832,0.494331,0.155098,0.268073,0.0449913,0,0
0.889294,0.552269,0.628595,0.268199,0.0386638,0,0
0.788807,0.43966,0.71078,0.269509,0.0277293,0,0
0.847159,0.546504,0.690957,0.270044,0.0368193,0,0
0.0524687,0.379368,0.806846,0.270172,0.0382502,0,0
0.337754,0.480289,0.343607,0.27188,0.0442822,0,0
0.571265,0.641024,0.680599,0.271902,0.0577928,0,0
0.0643109,0.275542,0.992245,0.272054,0.0310565,0,0
0.620573,0.866886,0.790283,0.273199,0.0209243,0,0
0.740474,0.548115,0.767522,0.273212,0.0494966,0,0
