OriginTime,MinWait,MinSETI
5.53963,0.000128137,0.000128137
6.70168,0.000337957,0.000337954
7.03507,0.000432685,0.000432681
7.25911,0.000543115,0.000543109
7.43452,0.000631525,0.000631516
7.58335,0.000759275,0.000759261
7.71417,0.000847817,0.000847801
7.8267,0.000939907,0.000939884
7.92612,0.00101226,0.00101224
8.01699,0.00107609,0.00107606
8.09836,0.00114856,0.00114853
8.17193,0.00122492,0.00122489
8.23876,0.0013173,0.00131726
8.29988,0.00140888,0.00140884
8.35646,0.00149613,0.00149608
8.40894,0.00160505,0.00160499
8.45928,0.00174966,0.00174959
8.50652,0.00191054,0.00191045
8.55145,0.00205582,0.00205573
8.59377,0.00216332,0.00216322
8.63426,0.00225262,0.0022525
8.67314,0.00234527,0.00234516
8.71015,0.00245566,0.00245554
8.74544,0.00261601,0.00261589
8.77937,0.00287284,0.00287265
8.8116,0.00321962,0.00321938
8.84355,0.00347749,0.00347723
8.87429,0.00366249,0.00366221
8.90343,0.00380702,0.00380671
8.93301,0.00393735,0.00393696
8.96049,0.0040598,0.00405944
8.9872,0.00418326,0.00418288
9.01328,0.00431511,0.00431468
9.03843,0.00446488,0.0044645
9.06285,0.00463709,0.00463664
9.0872,0.00482308,0.00482252
9.11093,0.00501407,0.00501359
9.13432,0.00522273,0.0052222
9.15646,0.00547436,0.00547373
9.17828,0.00585698,0.00585633
9.19984,0.00633417,0.00633316
9.22056,0.00658496,0.00658394
9.24073,0.00676706,0.00676593
9.26094,0.00691722,0.00691612
9.28037,0.0070584,0.00705719
9.29955,0.00718501,0.00718383
9.31845,0.00730669,0.00730543
9.33705,0.00742908,0.00742768
9.35484,0.00754553,0.00754414
9.37303,0.00765944,0.00765801
9.39049,0.00777061,0.00776923
9.40765,0.00788144,0.00787996
9.42475,0.00799227,0.00799078
9.44107,0.0080997,0.00809812
9.45752,0.00820739,0.00820585
9.47393,0.00831102,0.00830939
9.48954,0.00841423,0.00841261
9.50515,0.00851909,0.00851738
9.52066,0.00862357,0.00862196
9.53582,0.00873017,0.00872843
9.55089,0.00883747,0.00883565
9.56541,0.00894386,0.00894202
9.57968,0.00905643,0.00905447
9.59395,0.00916819,0.00916632
9.60783,0.00927707,0.00927519
9.62147,0.00938719,0.00938527
9.63532,0.00950022,0.00949819
9.64876,0.00961353,0.00961143
9.66179,0.00972431,0.00972198
9.67467,0.0098339,0.00983171
9.68744,0.00994319,0.00994092
9.7002,0.0100506,0.0100484
9.71255,0.0101583,0.0101558
9.72518,0.010266,0.0102636
9.73741,0.010376,0.0103736
9.74948,0.0104914,0.0104889
9.76146,0.0106091,0.0106065
9.77303,0.0107255,0.0107228
9.78463,0.01084,0.0108374
9.79628,0.0109585,0.0109557
9.8076,0.0110801,0.0110773
9.81888,0.0112033,0.0112005
9.83014,0.0113281,0.0113251
9.84093,0.0114529,0.01145
9.85176,0.0115793,0.0115763
9.86249,0.0117091,0.0117058
9.87311,0.0118383,0.0118351
9.88386,0.0119614,0.0119579
9.89396,0.012089,0.0120856
9.90405,0.0122169,0.0122135
9.91418,0.012344,0.0123405
9.92426,0.0124704,0.0124668
9.93437,0.0125949,0.0125912
9.94411,0.012721,0.0127176
9.95377,0.0128503,0.0128465
9.96323,0.012976,0.0129721
9.97291,0.0131047,0.0131006
9.98209,0.0132362,0.0132324
9.99149,0.0133664,0.0133622
10.0006,0.0135033,0.0134991
10.0098,0.0136403,0.0136363
10.0188,0.0137788,0.0137746
10.0277,0.0139183,0.013914
10.0368,0.0140602,0.0140556
10.0456,0.0142088,0.0142042
10.0548,0.0143525,0.0143479
10.0634,0.0145011,0.0144964
10.072,0.0146525,0.0146477
10.0806,0.0147982,0.0147933
10.089,0.0149441,0.0149392
10.0974,0.0150957,0.0150906
10.1057,0.0152477,0.0152422
10.114,0.0153948,0.0153895
10.1223,0.0155425,0.0155372
10.1306,0.0156922,0.0156868
10.1385,0.0158437,0.0158381
10.1467,0.0159964,0.0159906
10.1546,0.0161463,0.0161403
10.1624,0.0163027,0.0162968
10.1701,0.016455,0.016449
10.1778,0.0166078,0.0166017
10.1857,0.0167632,0.016757
10.1933,0.0169166,0.01691
10.2011,0.0170712,0.0170646
10.2087,0.0172289,0.017222
10.2161,0.0173876,0.0173809
10.2236,0.0175523,0.0175452
10.2308,0.0177207,0.0177135
10.2379,0.0178836,0.0178763
10.2453,0.0180498,0.0180423
10.2524,0.0182195,0.018212
10.2595,0.0183886,0.0183809
10.2666,0.01856,0.0185521
10.2737,0.0187254,0.0187176
10.2805,0.0188919,0.0188838
10.2876,0.0190631,0.0190551
10.2944,0.0192337,0.0192251
10.301,0.0193991,0.0193904
10.3078,0.0195623,0.0195535
10.3144,0.0197201,0.0197112
10.321,0.0198777,0.0198689
10.3277,0.020036,0.0200267
10.3344,0.020189,0.0201799
10.341,0.0203387,0.020329
10.3475,0.0204846,0.0204749
10.3542,0.0206296,0.02062
10.3606,0.0207731,0.0207631
10.367,0.0209133,0.0209035
10.3733,0.0210514,0.0210412
10.3795,0.0211875,0.0211771
10.3857,0.0213198,0.0213092
10.3919,0.0214532,0.0214426
10.3981,0.0215866,0.0215759
10.4043,0.0217156,0.0217048
10.4104,0.0218435,0.0218323
10.4164,0.0219711,0.0219601
10.4224,0.0220996,0.0220887
10.4285,0.0222276,0.0222165
10.4345,0.0223572,0.0223457
10.4405,0.0224873,0.0224757
10.4463,0.0226168,0.0226051
10.4522,0.0227452,0.0227332
10.4581,0.0228761,0.0228643
10.4641,0.0230093,0.0229975
10.47,0.0231407,0.0231286
10.4757,0.0232713,0.023259
10.4814,0.0233964,0.023384
10.4871,0.0235226,0.0235101
10.4927,0.0236493,0.0236365
10.4984,0.0237767,0.0237638
10.5041,0.0239047,0.0238916
10.5097,0.0240337,0.0240203
10.5154,0.0241623,0.024149
10.5209,0.0242913,0.0242778
10.5263,0.0244207,0.0244073
10.5319,0.0245504,0.0245367
10.5375,0.0246809,0.0246667
10.5428,0.0248127,0.0247984
10.5482,0.0249437,0.0249293
10.5535,0.0250745,0.0250601
10.5588,0.0252018,0.0251873
10.564,0.0253287,0.0253138
10.5692,0.025457,0.0254421
10.5745,0.0255864,0.0255714
10.5797,0.0257149,0.0256998
10.5848,0.025841,0.0258258
10.59,0.0259674,0.025952
10.5952,0.0260946,0.0260793
10.6001,0.0262191,0.026203
10.6052,0.026346,0.0263299
10.6103,0.0264733,0.026457
10.6154,0.0265997,0.0265835
10.6204,0.0267264,0.0267098
10.6253,0.0268494,0.0268326
10.6303,0.0269735,0.0269565
10.6353,0.0270954,0.0270784
10.6403,0.0272172,0.0272005
10.6452,0.0273369,0.0273198
10.6501,0.0274549,0.0274375
10.6549,0.0275757,0.0275585
10.6598,0.0276932,0.0276755
10.6646,0.0278098,0.0277923
10.6694,0.0279251,0.0279076
10.6741,0.0280417,0.0280236
10.6789,0.0281552,0.0281367
10.6836,0.0282704,0.0282523
10.6884,0.0283842,0.0283655
10.693,0.028495,0.0284764
10.6976,0.0286103,0.0285917
10.7022,0.0287244,0.0287057
10.7068,0.0288382,0.0288195
10.7114,0.0289496,0.02893
10.7161,0.029064,0.0290444
10.7206,0.0291752,0.029156
10.7251,0.0292859,0.0292661
10.7296,0.0293963,0.0293763
10.734,0.0295085,0.0294883
10.7385,0.0296193,0.0295994
10.7431,0.0297296,0.0297089
10.7475,0.0298398,0.0298196
10.7519,0.0299495,0.029929
10.7564,0.0300599,0.0300388
10.7608,0.0301659,0.030145
10.7651,0.0302763,0.0302552
10.7695,0.0303834,0.0303622
10.7739,0.0304921,0.0304707
10.7781,0.0306021,0.0305802
10.7825,0.0307097,0.0306877
10.7868,0.0308196,0.0307978
10.7911,0.0309265,0.0309047
10.7954,0.0310378,0.0310156
10.7996,0.0311456,0.0311233
10.8039,0.0312532,0.0312308
10.8081,0.0313631,0.0313403
10.8122,0.0314733,0.0314507
10.8164,0.031585,0.0315624
10.8206,0.031696,0.0316735
10.8248,0.0318095,0.0317864
10.8291,0.0319211,0.0318977
10.8332,0.0320351,0.0320116
10.8374,0.0321481,0.0321243
10.8414,0.0322605,0.0322365
10.8455,0.0323761,0.0323519
10.8496,0.0324912,0.0324673
10.8536,0.0326061,0.0325816
10.8577,0.0327231,0.0326984
10.8617,0.0328412,0.0328162
10.8656,0.0329574,0.0329331
10.8696,0.0330745,0.0330499
10.8737,0.0331941,0.0331686
10.8777,0.033314,0.0332881
10.8816,0.033433,0.0334079
10.8855,0.0335508,0.0335256
10.8895,0.0336748,0.0336493
10.8934,0.0337955,0.0337699
10.8973,0.0339191,0.0338928
10.9012,0.0340434,0.0340175
10.9051,0.0341707,0.0341442
10.909,0.0342963,0.0342699
10.9128,0.0344222,0.0343961
10.9165,0.0345525,0.0345258
10.9204,0.0346874,0.0346608
10.9242,0.0348174,0.0347899
10.928,0.034952,0.0349242
10.9317,0.0350829,0.0350548
10.9355,0.0352191,0.0351909
10.9393,0.0353528,0.0353247
10.943,0.035489,0.0354609
10.9467,0.035624,0.0355951
10.9504,0.0357611,0.0357327
10.9541,0.0358945,0.0358658
10.9578,0.0360309,0.036002
10.9614,0.0361681,0.0361387
10.965,0.0363053,0.036276
10.9688,0.0364418,0.0364125
10.9724,0.0365814,0.0365513
10.976,0.0367206,0.0366908
10.9797,0.0368632,0.0368324
10.9834,0.0370022,0.0369716
10.987,0.0371405,0.0371095
10.9906,0.0372837,0.0372524
10.9942,0.0374253,0.0373941
10.9979,0.0375682,0.0375364
11.0013,0.0377091,0.037677
11.0048,0.0378531,0.037821
11.0083,0.0379985,0.0379665
11.0118,0.0381446,0.0381119
11.0154,0.0382905,0.0382575
11.0188,0.0384373,0.0384042
11.0222,0.038585,0.0385518
11.0258,0.0387315,0.0386985
11.0292,0.03888,0.0388465
11.0326,0.0390303,0.0389961
11.036,0.0391807,0.0391463
11.0394,0.0393252,0.0392909
11.0428,0.0394769,0.0394421
11.0462,0.0396267,0.0395913
11.0496,0.0397774,0.0397415
11.053,0.0399266,0.0398906
11.0564,0.04008,0.040044
11.0597,0.04023,0.0401938
11.0631,0.0403812,0.0403452
11.0665,0.0405389,0.0405019
11.0699,0.0406935,0.0406572
11.0732,0.0408498,0.0408127
11.0764,0.0410035,0.0409657
11.0798,0.0411583,0.0411204
11.0831,0.0413105,0.0412725
11.0864,0.0414643,0.0414258
11.0897,0.0416159,0.0415767
11.093,0.041771,0.0417322
11.0962,0.0419278,0.041888
11.0994,0.0420829,0.042043
11.1026,0.0422368,0.0421963
11.1058,0.0423929,0.0423522
11.109,0.0425448,0.0425036
11.1123,0.0426975,0.0426557
11.1155,0.0428512,0.0428092
11.1187,0.0430008,0.0429585
11.1218,0.0431553,0.0431129
11.1251,0.0433025,0.0432596
11.1283,0.0434524,0.0434098
11.1314,0.0435996,0.0435563
11.1346,0.0437522,0.0437083
11.1377,0.0438974,0.0438526
11.1408,0.0440463,0.0440016
11.1439,0.0441922,0.0441478
11.147,0.0443372,0.0442912
11.1502,0.0444826,0.0444371
11.1533,0.0446269,0.0445815
11.1564,0.0447728,0.0447267
11.1595,0.0449168,0.0448707
11.1626,0.045059,0.0450126
11.1657,0.0452034,0.0451568
11.1687,0.0453448,0.0452979
11.1718,0.0454893,0.0454416
11.1749,0.0456273,0.0455794
11.1779,0.0457679,0.0457198
11.1808,0.0459047,0.0458568
11.1839,0.0460418,0.0459927
11.1868,0.0461795,0.0461303
11.1899,0.0463163,0.0462664
11.1929,0.0464536,0.046404
11.1959,0.046592,0.0465411
11.1989,0.0467274,0.046677
11.2019,0.0468612,0.0468107
11.2048,0.046998,0.0469471
11.2078,0.0471336,0.0470826
11.2107,0.0472666,0.0472155
11.2137,0.0474013,0.0473495
11.2165,0.0475362,0.0474837
11.2195,0.0476673,0.0476147
11.2224,0.0478,0.0477475
11.2253,0.0479297,0.0478762
11.2283,0.0480606,0.0480075
11.2311,0.0481901,0.0481372
11.234,0.0483184,0.0482649
11.2369,0.0484472,0.0483933
11.2398,0.0485759,0.0485221
11.2426,0.048704,0.0486492
11.2455,0.0488316,0.0487768
11.2484,0.0489602,0.0489048
11.2513,0.0490888,0.0490337
11.2541,0.0492178,0.049161
11.2569,0.0493479,0.049292
11.2597,0.0494753,0.0494193
11.2626,0.0496035,0.0495462
11.2654,0.0497296,0.049672
11.2682,0.0498581,0.0498003
11.271,0.0499866,0.0499291
11.2739,0.0501123,0.0500548
11.2766,0.0502376,0.0501794
11.2794,0.0503641,0.0503061
11.2822,0.0504915,0.0504331
11.285,0.0506196,0.0505608
11.2878,0.050745,0.0506867
11.2905,0.0508703,0.0508105
11.2933,0.050996,0.0509365
11.296,0.0511202,0.0510601
11.2987,0.0512486,0.0511884
11.3015,0.051373,0.0513124
11.3043,0.0515004,0.0514396
11.307,0.0516258,0.0515644
11.3097,0.0517508,0.0516896
11.3125,0.0518778,0.0518166
11.3152,0.052003,0.0519411
11.318,0.0521298,0.0520683
11.3207,0.0522552,0.0521924
11.3233,0.0523812,0.052318
11.326,0.0525079,0.0524446
11.3286,0.0526321,0.0525687
11.3313,0.0527601,0.0526965
11.334,0.0528856,0.0528215
11.3366,0.0530121,0.0529479
11.3393,0.0531391,0.0530744
11.342,0.0532638,0.053199
11.3446,0.0533901,0.0533254
11.3472,0.0535183,0.053453
11.3499,0.0536461,0.053581
11.3525,0.0537737,0.0537082
11.3551,0.0539029,0.0538364
11.3577,0.0540294,0.0539631
11.3603,0.0541579,0.0540917
11.363,0.0542872,0.0542205
11.3656,0.0544186,0.0543513
11.3682,0.0545496,0.0544815
11.3707,0.0546783,0.0546104
11.3733,0.0548067,0.0547393
11.3758,0.0549392,0.0548705
11.3784,0.0550702,0.055002
11.381,0.0552013,0.0551325
11.3835,0.0553355,0.0552661
11.386,0.0554662,0.0553966
11.3885,0.0555975,0.0555277
11.391,0.0557308,0.0556602
11.3936,0.0558653,0.0557944
11.3961,0.0559976,0.0559267
11.3986,0.0561305,0.0560593
11.4011,0.0562626,0.0561922
11.4037,0.0563978,0.0563261
11.4061,0.0565295,0.0564576
11.4086,0.0566657,0.0565931
11.4111,0.0568014,0.0567281
11.4136,0.0569347,0.0568611
11.4161,0.0570688,0.0569943
11.4186,0.0572052,0.0571316
11.4211,0.057341,0.0572663
11.4236,0.057477,0.0574025
11.4261,0.0576167,0.0575416
11.4286,0.0577545,0.0576793
11.431,0.0578902,0.057815
11.4335,0.0580306,0.0579542
11.4359,0.0581685,0.0580915
11.4384,0.0583081,0.0582311
11.4409,0.0584474,0.0583712
11.4433,0.0585875,0.05851
11.4457,0.0587301,0.0586524
11.4481,0.0588669,0.0587885
11.4506,0.0590084,0.0589307
11.453,0.0591524,0.0590744
11.4554,0.0592938,0.0592143
11.4578,0.0594383,0.0593592
11.4602,0.0595818,0.0595022
11.4626,0.0597272,0.0596469
11.465,0.0598727,0.0597918
11.4674,0.0600174,0.0599367
11.4698,0.0601623,0.0600808
11.4721,0.0603084,0.0602266
11.4745,0.06045,0.0603675
11.4768,0.060595,0.060511
11.4792,0.0607399,0.0606568
11.4816,0.0608867,0.0608033
11.4839,0.0610306,0.0609472
11.4862,0.0611785,0.061094
11.4886,0.0613239,0.0612395
11.4909,0.0614697,0.0613849
11.4933,0.061618,0.0615323
11.4957,0.0617646,0.061679
11.498,0.0619127,0.0618259
11.5002,0.0620586,0.0619726
11.5026,0.0622096,0.0621232
11.5049,0.062358,0.0622701
11.5073,0.0625039,0.0624157
11.5096,0.0626525,0.0625643
11.5119,0.0628007,0.0627114
11.5142,0.0629477,0.0628588
11.5165,0.0630979,0.0630084
11.5189,0.063248,0.0631573
11.5211,0.0633968,0.0633063
11.5234,0.063547,0.063456
11.5257,0.0637002,0.0636085
11.5279,0.0638519,0.06376
11.5303,0.0640036,0.0639111
11.5325,0.0641552,0.0640624
11.5349,0.0643047,0.0642121
11.5371,0.0644578,0.0643644
11.5394,0.0646133,0.0645185
11.5416,0.0647641,0.0646707
11.5438,0.0649149,0.0648201
11.5461,0.0650684,0.064972
11.5483,0.0652225,0.0651267
11.5505,0.0653733,0.0652778
11.5528,0.0655269,0.0654297
11.555,0.0656845,0.0655866
11.5573,0.0658384,0.0657394
11.5595,0.0659974,0.0658986
11.5617,0.0661498,0.0660508
11.5639,0.0663068,0.0662073
11.5661,0.066464,0.0663641
11.5683,0.0666218,0.0665212
11.5706,0.0667766,0.0666754
11.5727,0.0669317,0.0668311
11.5749,0.0670923,0.0669907
11.5771,0.0672507,0.0671478
11.5793,0.0674041,0.0673015
11.5815,0.0675657,0.0674628
11.5837,0.067727,0.0676225
11.5858,0.067887,0.0677836
11.588,0.0680421,0.0679384
11.5901,0.0682021,0.0680968
11.5923,0.0683633,0.0682579
11.5944,0.0685274,0.0684213
11.5966,0.0686868,0.0685809
11.5988,0.0688473,0.0687414
11.6009,0.0690107,0.0689026
11.6031,0.0691726,0.0690646
11.6052,0.0693344,0.0692263
11.6074,0.069496,0.0693859
11.6095,0.0696603,0.0695509
11.6117,0.069821,0.0697113
11.6138,0.0699861,0.0698749
11.6159,0.0701461,0.0700354
11.618,0.0703138,0.0702017
11.6202,0.0704772,0.0703651
11.6223,0.0706447,0.0705324
11.6244,0.0708049,0.0706922
11.6266,0.0709699,0.0708562
11.6287,0.0711377,0.0710224
11.6308,0.0713057,0.071191
11.6329,0.0714704,0.0713555
11.635,0.0716375,0.0715208
11.6371,0.0717989,0.0716824
11.6392,0.0719648,0.0718482
11.6413,0.0721317,0.0720124
11.6433,0.0722954,0.0721775
11.6455,0.0724614,0.0723421
