OriginTime,MinWait,MinSETI
0.0499304,0.00229759,0.00229726
0.222318,0.00997344,0.00996545
0.417382,0.0135133,0.0135013
0.528596,0.0168663,0.0168508
0.611096,0.0202425,0.0202228
0.682795,0.0237488,0.0237266
0.743901,0.0272813,0.0272516
0.80217,0.0307615,0.030721
0.85665,0.0342613,0.0342189
0.906881,0.03755,0.0374877
0.953815,0.0408795,0.0408139
0.997399,0.0440626,0.0439713
1.03845,0.0473052,0.0472068
1.07812,0.0504082,0.0503008
1.11325,0.0535554,0.0534368
1.14958,0.0566618,0.0565325
1.18523,0.0596524,0.0595127
1.21834,0.0625919,0.0624422
1.25283,0.0654688,0.0653124
1.28525,0.0683916,0.0682232
1.31705,0.071289,0.0711059
1.34847,0.0740925,0.0738897
1.37945,0.0767747,0.0765485
1.40938,0.0795515,0.0793195
1.43974,0.08234,0.0820926
1.46892,0.0851557,0.084892
1.4975,0.0879841,0.0877007
1.52665,0.0906609,0.0903253
1.55482,0.0933223,0.0930025
1.58233,0.0961531,0.095812
1.60769,0.0989406,0.0985825
1.63473,0.101715,0.101344
1.6598,0.104527,0.104118
1.68655,0.10735,0.10692
1.7123,0.110163,0.10971
1.73757,0.112968,0.112512
1.76305,0.115716,0.115238
1.78851,0.118401,0.117898
1.81341,0.121052,0.12053
1.83871,0.12383,0.123277
1.86216,0.126702,0.126139
1.88726,0.129525,0.128928
1.91152,0.132426,0.13179
1.93434,0.135222,0.134551
1.95775,0.138132,0.137426
1.98095,0.141061,0.14033
2.00374,0.143906,0.143115
2.02601,0.146916,0.146118
2.04947,0.149827,0.148955
2.07169,0.152769,0.151928
2.09382,0.155702,0.154777
2.11583,0.158788,0.157835
2.13771,0.161744,0.160734
2.16055,0.164703,0.163672
2.18249,0.167755,0.166708
2.20323,0.17081,0.169669
2.22421,0.173915,0.172726
2.24515,0.177022,0.175809
2.26658,0.180059,0.178786
2.28761,0.18304,0.181762
2.30865,0.185854,0.184615
2.32859,0.188771,0.187428
2.34899,0.191721,0.190259
2.36827,0.194643,0.193193
2.3879,0.197583,0.196071
2.40803,0.200485,0.198945
2.4277,0.203521,0.201911
2.44699,0.206484,0.204842
2.46586,0.209389,0.207682
2.48517,0.212341,0.210584
2.50551,0.215313,0.213452
2.52507,0.218156,0.216309
2.54397,0.221034,0.219063
2.56342,0.223931,0.221936
2.58188,0.226748,0.224714
2.60072,0.229581,0.227442
2.61964,0.232397,0.230202
2.63791,0.23523,0.233013
2.65697,0.238148,0.235919
2.67618,0.241021,0.238735
2.69459,0.243999,0.24164
2.71311,0.2469,0.24444
2.73147,0.249814,0.247302
2.74934,0.252836,0.25022
2.7683,0.255735,0.253047
2.78663,0.258665,0.255954
2.80517,0.261606,0.258889
2.8226,0.264431,0.261623
2.84048,0.267281,0.264439
2.85842,0.270185,0.267287
2.8764,0.273023,0.27003
2.89376,0.275981,0.272874
2.91051,0.278829,0.275658
2.9283,0.281716,0.278427
2.94579,0.284536,0.281185
2.9625,0.287353,0.283993
2.97898,0.290272,0.286758
2.99641,0.2931,0.289521
3.01298,0.295957,0.292299
3.02983,0.298783,0.295128
3.04715,0.301622,0.297909
3.06445,0.304343,0.300543
3.08136,0.307068,0.303145
3.09804,0.309865,0.305911
3.11496,0.312666,0.308611
3.13188,0.315517,0.311412
3.14835,0.318298,0.31412
3.16475,0.321085,0.316851
3.18119,0.323824,0.319576
