X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.305614,0.536573,0.408311,0,0,1
0.651173,0.0242205,0.00645623,0.318285,0.528516,0.401337,0,0,1
0.157383,0.122347,0.870363,0.354609,0.552827,0.438004,0,0,1
0.539027,0.0364297,0.87754,0.357211,0.462345,0.388362,0,0,1
0.820687,0.875197,0.367458,0.364606,0.554325,0.434989,0,0,1
0.703563,0.361467,0.214394,0.366212,0.511302,0.394376,0,0,1
0.412447,0.841522,0.854283,0.367826,0.549728,0.431552,0,0,1
0.00745795,0.299526,0.517687,0.367872,0.521878,0.439576,0,0,1
0.568933,0.995371,0.312242,0.368207,0.488931,0.394174,0,0,1
0.148146,0.654277,0.148022,0.370396,0.525569,0.443247,0,0,1
0.517129,0.887649,0.999645,0.370926,0.470907,0.39966,0,0,0.98
0.434497,0.234344,0.936904,0.373475,0.528765,0.43956,0,0,1
0.656684,0.0551614,0.312946,0.382744,0.459443,0.3826,1,0.00280389,0.99
0.475196,0.0604497,0.918424,0.382829,0.436728,0.392256,0,0,1
0.913803,0.321509,0.222892,0.382929,0.554811,0.443175,0,0,0.99
0.565381,0.829051,0.79233,0.384252,0.533302,0.42846,0,0,0.99
0.017503,0.863004,0.741951,0.384648,0.438876,0.410132,0,0,1
0.121175,0.010545,0.308559,0.385304,0.493049,0.434599,0,0,1
0.891111,0.0129927,0.433588,0.386038,0.527597,0.427845,0,0,0.98
0.955133,0.192877,0.353345,0.388155,0.51105,0.44213,0,0,1
0.0298876,0.564475,0.282787,0.389106,0.552865,0.443475,0,0,0.99
0.515289,0.993529,0.507423,0.389735,0.482145,0.432624,0,0,1
0.950051,0.256905,0.919858,0.392267,0.499623,0.429497,0,0,1
0.788819,0.762391,0.236912,0.393856,0.540057,0.43284,0,0,0.99
0.0996677,0.230049,0.335824,0.393986,0.442097,0.4133,0,0,1
0.744955,0.662878,0.715616,0.394626,0.524715,0.453175,0,0,0.98
0.789392,0.251999,0.898585,0.394684,0.495362,0.430304,0,0,1
0.723984,0.331156,0.341339,0.395036,0.464925,0.403083,0,0,1
0.480278,0.603053,0.89736,0.395898,0.479088,0.434876,0,0,1
0.217537,0.042269,0.737028,0.396322,0.52137,0.4241,0,0,0.99
0.9684,0.195655,0.839078,0.396601,0.49529,0.428052,0,0,1
0.335652,0.483591,0.0320029,0.39696,0.536093,0.445184,0,0,0.99
0.34817,0.752157,0.664833,0.397055,0.503257,0.441803,0,0,1
0.428747,0.114727,0.620346,0.398239,0.501223,0.436673,0,0,1
0.88185,0.390563,0.858542,0.398313,0.533813,0.448315,0,0,0.99
0.0192584,0.988737,0.602632,0.398379,0.470494,0.431209,0,0,1
0.144072,0.926215,0.462419,0.398678,0.50089,0.445286,0,0,1
0.47043,0.860422,0.0466718,0.399258,0.442576,0.404253,0,0,0.99
0.0334049,0.873965,0.658949,0.40018,0.469867,0.418231,0,0,1
0.00447891,0.473286,0.497228,0.400413,0.452619,0.421226,0,0,0.99
0.852072,0.182038,0.908901,0.400865,0.489181,0.428244,0,0,1
0.702414,0.234659,0.751036,0.400874,0.547457,0.454132,0,0,0.96
0.864846,0.0598318,0.761121,0.401178,0.560742,0.45501,0,0,1
0.0179,0.114586,0.0867562,0.401647,0.496938,0.435703,0,0,1
0.453584,0.538532,0.0623556,0.402498,0.507775,0.443338,0,0,1
0.562792,0.904818,0.382231,0.403584,0.48282,0.418204,0,0,1
0.157034,0.432952,0.864387,0.403734,0.505532,0.445601,0,0,1
0.0772791,0.244599,0.363253,0.403817,0.432266,0.410023,0,0,1
0.378272,0.320621,0.404419,0.40488,0.481743,0.432838,0,0,1
0.91055,0.447018,0.303278,0.40573,0.52194,0.440223,0,0,0.99
0.765853,0.524945,0.657413,0.406868,0.48938,0.435854,0,0,1
0.0476086,0.852549,0.744884,0.406872,0.416652,0.402724,1,0.413056,0.99
0.150738,0.133554,0.271841,0.407214,0.51341,0.436518,0,0,1
0.311313,0.610862,0.487181,0.407462,0.489512,0.439839,0,0,1
0.63446,0.153525,0.620072,0.408315,0.526277,0.452872,0,0,0.98
0.771109,0.315389,0.368389,0.408346,0.451615,0.418332,0,0,1
0.975051,0.187253,0.0602901,0.408524,0.490061,0.433411,0,0,0.98
0.312494,0.2694,0.62783,0.408826,0.493584,0.437772,0,0,0.98
0.935085,0.652913,0.637012,0.408978,0.502841,0.448163,0,0,1
0.394071,0.05413,0.562504,0.410558,0.488905,0.432567,0,0,0.99
0.0292842,0.459858,0.466144,0.410645,0.442387,0.417815,0,0,0.98
0.312152,0.187132,0.619614,0.410906,0.491503,0.437079,0,0,0.98
0.341775,0.849218,0.706536,0.41126,0.502889,0.436957,0,0,0.98
0.688386,0.518369,0.66447,0.411315,0.484933,0.434372,0,0,1
0.071498,0.39296,0.953146,0.411466,0.528695,0.449509,0,0,0.97
0.327117,0.492066,0.57802,0.411579,0.529656,0.456542,0,0,1
