X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.348639,0.579675,0.4599,0,0,1
0.651173,0.0242205,0.00645623,0.361459,0.571802,0.459282,0,0,1
0.157383,0.122347,0.870363,0.397903,0.592601,0.494789,0,0,1
0.539027,0.0364297,0.87754,0.400498,0.505445,0.449967,0,0,1
0.820687,0.875197,0.367458,0.407859,0.597388,0.494454,0,0,1
0.703563,0.361467,0.214394,0.409456,0.554327,0.467086,0,0,1
0.412447,0.841522,0.854283,0.411059,0.592813,0.493647,0,0,1
0.00745795,0.299526,0.517687,0.411105,0.564019,0.486456,0,0,1
0.568933,0.995371,0.312242,0.411438,0.532032,0.466636,0,0,1
0.148146,0.654277,0.148022,0.413611,0.567752,0.489046,0,0,1
0.517129,0.887649,0.999645,0.414137,0.513788,0.461538,0,0,0.98
0.434497,0.234344,0.936904,0.416665,0.57063,0.492998,0,0,1
0.656684,0.0551614,0.312946,0.425846,0.502468,0.451322,0,0,0.99
0.475196,0.0604497,0.918424,0.425929,0.480014,0.447141,0,0,1
0.913803,0.321509,0.222892,0.426028,0.597585,0.504773,0,0,0.99
0.565381,0.829051,0.79233,0.427336,0.576535,0.491838,0,0,0.99
0.017503,0.863004,0.741951,0.427728,0.48163,0.454118,0,0,1
0.121175,0.010545,0.308559,0.428376,0.535428,0.480338,0,0,1
0.891111,0.0129927,0.433588,0.429102,0.56937,0.492094,0,0,0.98
0.955133,0.192877,0.353345,0.431193,0.552996,0.491294,0,0,1
0.0298876,0.564475,0.282787,0.432132,0.594309,0.510965,0,0,0.99
0.515289,0.993529,0.507423,0.432753,0.524512,0.477491,0,0,1
0.950051,0.256905,0.919858,0.435251,0.542545,0.483411,0,0,1
0.788819,0.762391,0.236912,0.436818,0.58331,0.498708,0,0,0.99
0.0996677,0.230049,0.335824,0.436946,0.484903,0.459336,0,0,1
0.744955,0.662878,0.715616,0.437577,0.566101,0.501694,0,0,0.98
0.789392,0.251999,0.898585,0.437634,0.538218,0.483014,0,0,1
0.723984,0.331156,0.341339,0.437981,0.507652,0.470401,0,0,1
0.480278,0.603053,0.89736,0.43883,0.52137,0.479192,0,0,1
0.217537,0.042269,0.737028,0.439247,0.564664,0.490394,0,0,0.99
0.9684,0.195655,0.839078,0.439522,0.538273,0.482937,0,0,1
0.335652,0.483591,0.0320029,0.439876,0.578922,0.50228,0,0,0.99
0.34817,0.752157,0.664833,0.43997,0.545007,0.492406,0,0,1
0.428747,0.114727,0.620346,0.441136,0.54391,0.488159,0,0,1
0.88185,0.390563,0.858542,0.441209,0.576245,0.503924,0,0,0.99
0.0192584,0.988737,0.602632,0.441273,0.512889,0.475978,0,0,1
0.144072,0.926215,0.462419,0.441568,0.54301,0.490747,0,0,1
0.47043,0.860422,0.0466718,0.442139,0.485787,0.458427,0,0,0.99
0.0334049,0.873965,0.658949,0.443046,0.512947,0.472411,0,0,1
0.00447891,0.473286,0.497228,0.443276,0.495304,0.467517,0,0,0.99
0.852072,0.182038,0.908901,0.443721,0.532131,0.482338,0,0,1
0.702414,0.234659,0.751036,0.44373,0.58911,0.513454,0,0,0.96
0.864846,0.0598318,0.761121,0.444028,0.60217,0.520427,0,0,1
0.0179,0.114586,0.0867562,0.44449,0.539662,0.48754,0,0,1
0.453584,0.538532,0.0623556,0.445326,0.549542,0.496741,0,0,1
0.562792,0.904818,0.382231,0.446395,0.526051,0.477913,0,0,1
0.157034,0.432952,0.864387,0.446542,0.547864,0.494166,0,0,1
0.0772791,0.244599,0.363253,0.446624,0.475225,0.45826,0,0,1
0.378272,0.320621,0.404419,0.447668,0.524405,0.482539,0,0,1
0.91055,0.447018,0.303278,0.448504,0.564368,0.501909,0,0,0.99
0.765853,0.524945,0.657413,0.449622,0.532053,0.486743,0,0,1
0.0476086,0.852549,0.744884,0.449626,0.459732,0.451684,0,0,0.99
0.150738,0.133554,0.271841,0.449962,0.554902,0.496517,0,0,1
0.311313,0.610862,0.487181,0.450206,0.531684,0.488555,0,0,1
0.63446,0.153525,0.620072,0.451043,0.567757,0.507682,0,0,0.98
0.771109,0.315389,0.368389,0.451074,0.494559,0.468946,0,0,1
0.975051,0.187253,0.0602901,0.451249,0.532904,0.486789,0,0,0.98
0.312494,0.2694,0.62783,0.451545,0.536264,0.489425,0,0,0.98
0.935085,0.652913,0.637012,0.451694,0.545051,0.495762,0,0,1
0.394071,0.05413,0.562504,0.453245,0.531802,0.486813,0,0,0.99
0.0292842,0.459858,0.466144,0.453331,0.48525,0.4664,0,0,0.98
0.312152,0.187132,0.619614,0.453587,0.534222,0.489198,0,0,0.98
0.341775,0.849218,0.706536,0.453934,0.545804,0.493213,0,0,0.98
0.688386,0.518369,0.66447,0.453987,0.527687,0.486258,0,0,1
0.071498,0.39296,0.953146,0.454136,0.570757,0.507514,0,0,0.97
0.327117,0.492066,0.57802,0.454247,0.571968,0.508396,0,0,1
0.315455,0.311146,0.375375,0.454553,0.51752,0.481774,0,0,0.99
0.188571,0.323181,0.758861,0.454586,0.561378,0.504016,0,0,1
0.430215,0.0752348,0.901845,0.454835,0.476096,0.461072,0,0,0.98
0.855809,0.650903,0.993497,0.455211,0.541859,0.49651,0,0,0.99
0.12472,0.321547,0.553052,0.455843,0.535547,0.486296,0,0,1
0.308303,0.458195,0.206017,0.456587,0.559217,0.505048,0,0,0.96
0.117063,0.154472,0.526251,0.456847,0.593114,0.512328,0,0,0.98
0.897524,0.753788,0.956046,0.457411,0.572378,0.508263,0,0,1
0.694177,0.485024,0.221002,0.458935,0.533545,0.486597,0,0,0.99
0.666672,0.0853156,0.710244,0.458943,0.568606,0.506804,0,0,0.99
0.593806,0.58424,0.134011,0.458993,0.585285,0.520678,0,0,1
0.0595124,0.792903,0.0912923,0.459219,0.562593,0.510377,0,0,0.98
0.254586,0.985027,0.301943,0.459478,0.547562,0.50186,0,0,0.98
0.725006,0.346798,0.881467,0.460618,0.547339,0.499346,0,0,1
0.856255,0.508221,0.553205,0.461738,0.52757,0.494446,0,0,1
0.531296,0.0975895,0.627096,0.462001,0.545326,0.496716,0,0,0.98
0.931,0.0910994,0.528543,0.462152,0.547725,0.50124,0,0,1
0.209089,0.306172,0.995645,0.46223,0.559351,0.506114,0,0,0.99
0.0505438,0.803854,0.642487,0.462238,0.517075,0.484478,0,0,1
0.420938,0.836191,0.039244,0.462489,0.497742,0.475896,0,0,0.99
0.730112,0.650763,0.40673,0.462734,0.558629,0.50976,0,0,0.98
0.168424,0.950105,0.577687,0.462956,0.561778,0.5045,0,0,1
0.806509,0.650016,0.15354,0.46296,0.577856,0.51112,0,0,0.98
0.392897,0.116949,0.2469,0.463589,0.570001,0.498111,0,0,0.95
0.0561543,0.804096,0.753226,0.463915,0.49908,0.475523,0,0,0.99
0.303348,0.674153,0.460539,0.46393,0.519335,0.48703,0,0,0.99
0.0126821,0.137633,0.22894,0.464089,0.560038,0.508942,0,0,0.96
0.490674,0.134056,0.10309,0.464569,0.530175,0.490031,0,0,0.98
0.877718,0.399142,0.0616684,0.464877,0.551826,0.504454,0,0,1
0.485693,0.584012,0.959129,0.465275,0.503693,0.479411,0,0,0.96
0.367501,0.322552,0.638196,0.46537,0.50115,0.481857,0,0,0.97
0.892023,0.462288,0.942311,0.465497,0.534424,0.497552,0,0,0.95
0.998379,0.43266,0.260657,0.465693,0.547179,0.499999,0,0,0.99
0.42714,0.664362,0.561032,0.466535,0.571331,0.514731,0,0,0.99
0.27526,0.219482,0.706903,0.466612,0.552197,0.502975,0,0,0.93
