X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.405276,0.114816,0,0,1
0.651173,0.0242205,0.00645623,0.418016,0.104858,0,0,1
0.157383,0.122347,0.870363,0.453891,0.0955093,0,0,1
0.539027,0.0364297,0.87754,0.456427,0.0521243,0,0,1
0.820687,0.875197,0.367458,0.463608,0.0944542,0,0,1
0.703563,0.361467,0.214394,0.465164,0.0729003,0,0,1
0.412447,0.841522,0.854283,0.466724,0.090637,0,0,1
0.00745795,0.299526,0.517687,0.466769,0.0752136,0,0,1
0.568933,0.995371,0.312242,0.467093,0.0600861,0,0,1
0.148146,0.654277,0.148022,0.469207,0.0758997,0,0,1
0.517129,0.887649,0.999645,0.469719,0.049372,0,0,0.98
0.434497,0.234344,0.936904,0.472176,0.0755665,0,0,1
0.656684,0.0551614,0.312946,0.481079,0.0390134,0,0,0.99
0.475196,0.0604497,0.918424,0.481159,0.0273921,0,0,1
0.913803,0.321509,0.222892,0.481255,0.0853815,0,0,0.99
0.565381,0.829051,0.79233,0.482522,0.0748397,0,0,0.99
0.017503,0.863004,0.741951,0.482901,0.0265597,0,0,1
0.121175,0.010545,0.308559,0.483528,0.0527638,0,0,1
0.891111,0.0129927,0.433588,0.48423,0.0688293,0,0,0.98
0.955133,0.192877,0.353345,0.486252,0.0597841,0,0,1
0.0298876,0.564475,0.282787,0.487159,0.0790252,0,0,0.99
0.515289,0.993529,0.507423,0.487759,0.045178,0,0,1
0.950051,0.256905,0.919858,0.490171,0.0535715,0,0,1
0.788819,0.762391,0.236912,0.491684,0.0736877,0,0,0.99
0.0996677,0.230049,0.335824,0.491808,0.0238009,0,0,1
0.744955,0.662878,0.715616,0.492416,0.0813789,0,0,0.98
0.789392,0.251999,0.898585,0.492471,0.050181,0,0,1
0.723984,0.331156,0.341339,0.492806,0.0345896,0,0,1
0.480278,0.603053,0.89736,0.493625,0.0405937,0,0,1
0.217537,0.042269,0.737028,0.494027,0.0633126,0,0,0.99
0.9684,0.195655,0.839078,0.494292,0.0494511,0,0,1
0.335652,0.483591,0.0320029,0.494633,0.0694218,0,0,0.99
0.34817,0.752157,0.664833,0.494723,0.051381,0,0,1
0.428747,0.114727,0.620346,0.495847,0.0511542,0,0,1
0.88185,0.390563,0.858542,0.495917,0.0670291,0,0,0.99
0.0192584,0.988737,0.602632,0.49598,0.0352835,0,0,1
0.144072,0.926215,0.462419,0.496264,0.0499423,0,0,1
0.47043,0.860422,0.0466718,0.496813,0.0222776,0,0,0.99
0.0334049,0.873965,0.658949,0.497687,0.0352162,0,0,1
0.00447891,0.473286,0.497228,0.497908,0.0258193,0,0,0.99
0.852072,0.182038,0.908901,0.498336,0.0443158,0,0,1
0.702414,0.234659,0.751036,0.498345,0.0715382,0,0,0.96
0.864846,0.0598318,0.761121,0.498632,0.0743373,0,0,1
0.0179,0.114586,0.0867562,0.499077,0.0474557,0,0,1
0.453584,0.538532,0.0623556,0.499882,0.0510832,0,0,1
0.562792,0.904818,0.382231,0.50091,0.0403984,0,0,1
0.157034,0.432952,0.864387,0.501052,0.0501739,0,0,1
0.0772791,0.244599,0.363253,0.50113,0.0144786,0,0,1
0.378272,0.320621,0.404419,0.502134,0.0382321,0,0,1
