OriginTime,MinWait,MinSETI
0.0710882,0.00386847,0
0.279377,0.0113482,0
0.607518,0.0159036,0
0.815564,0.0204181,0
0.970128,0.0246726,0
1.09532,0.0298601,0
1.21821,0.0353795,0
1.32646,0.0409501,0
1.42449,0.0474387,0
1.52126,0.0541255,0
1.60938,0.0612797,0
1.69555,0.0676195,0
1.7706,0.0743397,0
1.85077,0.0812789,0
1.92674,0.087626,0
2.00108,0.0934813,0
2.07408,0.0998479,0
2.14813,0.106388,0
2.21438,0.112192,0
2.28528,0.117606,0
2.35144,0.123527,0
2.41478,0.129355,0
2.48027,0.13515,0
2.54252,0.140861,0
2.60245,0.146358,0
2.65759,0.151826,0
2.72119,0.157273,0
2.7805,0.162445,0
2.83732,0.167995,0
2.89538,0.173241,0
2.95799,0.178564,0
3.01303,0.184483,0
3.07007,0.190217,0
3.12814,0.195818,0
3.18448,0.200891,0
3.24317,0.206778,0
3.29416,0.212238,0
3.34801,0.217692,0
3.40072,0.223586,0
3.45598,0.229103,0
3.5062,0.234726,0
3.55701,0.24052,0
3.61039,0.246102,0
3.66489,0.251912,0
3.71448,0.257652,0
3.76615,0.263857,0
3.81337,0.26911,0
3.86332,0.27433,0
3.91469,0.279602,0
3.96498,0.285388,0
4.01422,0.291018,0
4.06238,0.296817,0
4.11179,0.302173,0
4.1637,0.307429,0
4.21412,0.313228,0
4.26219,0.319432,0
4.30827,0.324908,0
4.35448,0.330584,0
4.39986,0.335964,0
4.44446,0.341709,0
4.49512,0.347101,0
4.5442,0.352771,0
4.58865,0.358208,0
4.63666,0.363986,0
4.68016,0.369819,0
4.72704,0.375712,0
4.77318,0.381313,0
4.81607,0.387053,0
4.86201,0.392219,0
4.90923,0.39799,0
4.95324,0.404061,0
4.99918,0.409819,0
5.04616,0.415212,0
5.08974,0.421024,0
5.13105,0.426293,0
5.1741,0.432302,0
5.21799,0.438341,0
5.2615,0.444014,0
5.3029,0.449535,0
5.34426,0.455157,0
5.38612,0.46072,0
5.42845,0.466141,0
5.47278,0.471335,0
5.5189,0.477045,0
5.56428,0.482387,0
5.60402,0.488008,0
5.64595,0.493864,0
5.68594,0.499454,0
5.72788,0.505119,0
5.76914,0.510304,0
5.81023,0.515412,0
5.8514,0.520519,0
5.89221,0.525635,0
5.93238,0.531253,0
5.97266,0.53702,0
6.01553,0.542938,0
6.0578,0.548523,0
6.0973,0.553766,0
6.13538,0.559203,0
6.17404,0.564848,0
6.21476,0.570091,0
6.25551,0.575809,0
6.29587,0.581493,0
6.33556,0.587172,0
6.37467,0.592654,0
6.41284,0.598111,0
6.45048,0.603717,0
6.48817,0.609167,0
6.5266,0.61472,0
6.5654,0.620486,0
6.60716,0.625457,0
6.64603,0.63087,0
6.68333,0.636461,0
6.72131,0.641628,0
6.75725,0.646776,0
6.79521,0.652221,0
6.83328,0.657925,0
6.87324,0.663281,0
6.91114,0.668587,0
6.9499,0.673954,0
6.98812,0.679148,0
7.02683,0.684244,0
7.06701,0.689696,0
7.10353,0.695505,0
7.1399,0.700972,0
7.17671,0.706231,0
7.21292,0.711601,0
7.25293,0.716938,0
7.288,0.722458,0
7.32666,0.727438,0
7.36208,0.732994,0
7.39688,0.738449,0
7.43202,0.744368,0
7.46899,0.749986,0
7.50605,0.755692,0
7.54231,0.761775,0
7.57831,0.767424,0
7.61488,0.7728,0
7.65275,0.778444,0
7.6881,0.783983,0
7.72534,0.789901,0
7.76105,0.795254,0
7.79602,0.800655,0
7.83193,0.806096,0
7.86801,0.811599,0
7.90127,0.81749,0
7.93643,0.823451,0
7.96958,0.829166,0
8.00428,0.83512,0
8.04047,0.840769,0
8.07501,0.846281,0
8.10839,0.851623,0
8.14277,0.857237,0
8.17811,0.862512,0
8.2115,0.867854,0
8.24658,0.873293,0
8.27952,0.878629,0
8.31311,0.884078,0
8.3479,0.889343,0
8.38211,0.894903,0
8.41609,0.900273,0
8.45003,0.905602,0
8.48426,0.911247,0
8.51929,0.917156,0
8.55278,0.922857,0
8.58554,0.928439,0
8.61942,0.934237,0
8.65241,0.939849,0
8.68711,0.945401,0
8.72141,0.951084,0
8.75735,0.956436,0
8.79169,0.961696,0
8.82853,0.967528,0
8.85917,0.973145,0
8.89255,0.979377,0
8.92679,0.985044,0
8.96079,0.990771,0
8.99164,0.996805,0
9.02374,1.00253,0
9.05587,1.00828,0
9.0851,1.01388,0
9.11614,1.01935,0
9.147,1.02502,0
9.18131,1.03098,0
9.21387,1.03716,0
9.24548,1.04333,0
9.27911,1.04883,0
9.31321,1.05478,0
9.34484,1.06014,0
9.37733,1.0655,0
9.40972,1.07103,0
9.44265,1.07682,0
9.4766,1.08234,0
9.50938,1.08809,0
9.54422,1.09388,0
9.57502,1.09974,0
9.60666,1.10564,0
9.63967,1.1116,0
9.67291,1.11716,0
9.70575,1.12299,0
9.73721,1.12839,0
9.76923,1.13412,0
9.80228,1.14004,0
9.83465,1.14552,0
9.86474,1.15122,0
9.89427,1.15733,0
9.92608,1.16336,0
9.95619,1.16914,0
9.98884,1.17471,0
10.0223,1.18099,0
10.0533,1.18722,0
10.0863,1.19321,0
10.1205,1.19941,0
10.1506,1.20503,0
10.1819,1.21065,0
10.2142,1.2163,0
10.2459,1.22198,0
10.2781,1.22795,0
10.308,1.23372,0
10.3391,1.23957,0
10.3705,1.24564,0
10.4006,1.25145,0
10.4301,1.25717,0
10.4584,1.26324,0
10.4878,1.26929,0
10.5187,1.27485,0
10.5499,1.28075,0
10.5799,1.28669,0
10.6107,1.29297,0
10.6427,1.29886,0
10.6737,1.30525,0
10.7055,1.3115,0
10.7373,1.31738,0
10.769,1.32331,0
10.8011,1.32933,0
10.8296,1.33529,0
10.8586,1.34087,0
10.8872,1.34667,0
10.9171,1.35272,0
10.9485,1.35848,0
10.9771,1.36421,0
11.0073,1.37039,0
11.036,1.37619,0
11.0655,1.38223,0
11.0963,1.38794,0
11.1266,1.39418,0
11.1545,1.40016,0
11.184,1.40613,0
11.2136,1.41182,0
11.2438,1.41723,0
11.2746,1.42341,0
11.3053,1.42984,0
11.3358,1.4359,0
11.3654,1.44175,0
11.3946,1.44741,0
11.4228,1.45349,0
11.4525,1.45991,0
11.481,1.46611,0
11.5106,1.47214,0
11.5381,1.47839,0
11.5662,1.48464,0
11.5967,1.49028,0
11.6253,1.496,0
11.6577,1.50228,0
11.6881,1.5084,0
11.7183,1.51454,0
11.7476,1.52012,0
11.777,1.52624,0
11.8076,1.53238,0
11.8379,1.53792,0
11.8657,1.54391,0
11.8937,1.55039,0
11.9236,1.55648,0
11.9522,1.56281,0
11.9799,1.56911,0
12.0094,1.57531,0
12.0384,1.58193,0
12.0668,1.58824,0
12.0968,1.59453,0
12.1246,1.60039,0
12.155,1.60673,0
12.1821,1.61295,0
12.2103,1.61905,0
12.2379,1.62493,0
12.2684,1.63139,0
12.2957,1.63738,0
12.3239,1.64364,0
12.3538,1.64936,0
12.3823,1.65504,0
12.4109,1.66089,0
12.4406,1.66686,0
12.4707,1.67306,0
12.4993,1.67959,0
12.5268,1.6856,0
12.555,1.69205,0
12.5813,1.69818,0
12.6102,1.70432,0
12.6386,1.71099,0
12.6661,1.71709,0
12.6933,1.72328,0
12.7224,1.72885,0
12.7509,1.7347,0
12.7803,1.74144,0
12.8101,1.74757,0
12.8379,1.75379,0
12.8659,1.75967,0
12.8929,1.76573,0
12.9206,1.77168,0
12.9485,1.77779,0
12.9762,1.78384,0
13.0034,1.78993,0
13.0316,1.79569,0
13.0593,1.80153,0
13.0861,1.8075,0
13.1124,1.81355,0
13.1401,1.81947,0
13.168,1.82535,0
13.1982,1.83131,0
13.2259,1.83751,0
13.2544,1.84365,0
13.2827,1.84983,0
13.3113,1.85581,0
13.3409,1.86158,0
13.3673,1.86734,0
13.395,1.87312,0
13.4218,1.87932,0
13.4496,1.88522,0
13.4778,1.89113,0
13.5074,1.89715,0
13.5343,1.903,0
13.5617,1.90883,0
13.5926,1.9149,0
13.6185,1.92032,0
13.6468,1.92608,0
13.6738,1.93235,0
13.7005,1.93833,0
13.7273,1.9446,0
13.7551,1.9508,0
13.783,1.95652,0
13.787,1.96278,0
13.813,1.969,0
13.8395,1.97496,0
13.8651,1.98075,0
13.8938,1.98663,0
13.9216,1.99307,0
13.9485,1.99887,0
13.9762,2.00477,0
14.0032,2.01106,0
14.0305,2.01745,0
14.0586,2.02381,0
14.0845,2.02956,0
14.1128,2.03573,0
14.1391,2.04184,0
14.1659,2.04792,0
14.1918,2.05422,0
14.2196,2.06059,0
14.2471,2.06704,0
14.2736,2.0729,0
14.2994,2.07875,0
14.3252,2.08452,0
14.3523,2.09031,0
14.3794,2.0964,0
14.4055,2.10236,0
14.4321,2.10875,0
14.4591,2.11507,0
14.4859,2.12111,0
14.511,2.12757,0
14.5363,2.13386,0
14.5628,2.14002,0
14.59,2.14656,0
14.6167,2.15265,0
14.6445,2.15899,0
14.67,2.16525,0
