X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.590457,0.806398,0.650961,0,0,1
0.651173,0.0242205,0.00645623,0.601214,0.804153,0.643789,0,0,1
0.157383,0.122347,0.870363,0.630795,0.808549,0.685224,0,0,1
0.539027,0.0364297,0.87754,0.632849,0.732149,0.635037,0,0,1
0.820687,0.875197,0.367458,0.638638,0.800836,0.664724,0,0,1
0.703563,0.361467,0.214394,0.639887,0.774046,0.632977,1,0.0809856,1
0.412447,0.841522,0.854283,0.641139,0.718589,0.664024,0,0,1
0.00745795,0.299526,0.517687,0.641174,0.771304,0.680882,0,0,1
0.568933,0.995371,0.312242,0.641434,0.758755,0.632801,1,0.102595,1
0.148146,0.654277,0.148022,0.643126,0.788352,0.688415,0,0,1
0.517129,0.887649,0.999645,0.643535,0.736585,0.640182,1,0.0421224,0.99
0.434497,0.234344,0.936904,0.645496,0.786277,0.660218,0,0,1
0.656684,0.0551614,0.312946,0.652568,0.744286,0.626447,1,0.419368,0.99
0.475196,0.0604497,0.918424,0.652632,0.712365,0.64313,2,0.114708,1
0.913803,0.321509,0.222892,0.652708,0.781692,0.657744,0,0,0.99
0.565381,0.829051,0.79233,0.65371,0.79213,0.660324,0,0,1
0.017503,0.863004,0.741951,0.654009,0.702546,0.67312,0,0,1
0.121175,0.010545,0.308559,0.654504,0.770637,0.686887,0,0,1
0.891111,0.0129927,0.433588,0.655058,0.779136,0.664538,0,0,1
0.955133,0.192877,0.353345,0.656653,0.75309,0.662351,0,0,1
0.0298876,0.564475,0.282787,0.657367,0.809909,0.67892,0,0,1
0.515289,0.993529,0.507423,0.657839,0.8,0.655866,1,0.0145771,1
0.950051,0.256905,0.919858,0.659735,0.765987,0.675726,0,0,1
0.788819,0.762391,0.236912,0.660922,0.76719,0.671594,0,0,0.99
0.0996677,0.230049,0.335824,0.661019,0.706579,0.673466,0,0,1
0.744955,0.662878,0.715616,0.661496,0.76474,0.690134,0,0,0.99
0.789392,0.251999,0.898585,0.661539,0.76062,0.659176,1,0.0197521,1
0.723984,0.331156,0.341339,0.661801,0.728199,0.636178,1,0.308944,1
0.480278,0.603053,0.89736,0.662442,0.737252,0.68663,0,0,1
0.217537,0.042269,0.737028,0.662757,0.778716,0.663916,0,0,1
0.9684,0.195655,0.839078,0.662965,0.762758,0.670341,0,0,1
0.335652,0.483591,0.0320029,0.663232,0.792443,0.679015,0,0,0.99
0.34817,0.752157,0.664833,0.663302,0.77958,0.681351,0,0,1
0.428747,0.114727,0.620346,0.664181,0.760512,0.670069,0,0,1
0.88185,0.390563,0.858542,0.664235,0.781569,0.687502,0,0,1
0.0192584,0.988737,0.602632,0.664284,0.768352,0.686832,0,0,1
0.144072,0.926215,0.462419,0.664506,0.758819,0.685662,0,0,1
0.47043,0.860422,0.0466718,0.664935,0.715184,0.653037,2,0.199683,1
0.0334049,0.873965,0.658949,0.665617,0.739228,0.670147,0,0,1
0.00447891,0.473286,0.497228,0.66579,0.715272,0.674441,0,0,0.99
0.852072,0.182038,0.908901,0.666124,0.756036,0.65761,1,0.0750139,1
0.702414,0.234659,0.751036,0.66613,0.779493,0.667848,0,0,0.98
0.864846,0.0598318,0.761121,0.666354,0.757914,0.666618,0,0,1
0.0179,0.114586,0.0867562,0.666701,0.760164,0.676485,0,0,1
0.453584,0.538532,0.0623556,0.667328,0.762114,0.674711,0,0,1
0.562792,0.904818,0.382231,0.668128,0.735305,0.655277,2,0.0996268,1
0.157034,0.432952,0.864387,0.668238,0.764369,0.688813,0,0,1
0.0772791,0.244599,0.363253,0.668299,0.699298,0.668612,0,0,1
0.378272,0.320621,0.404419,0.66908,0.744058,0.652702,1,0.134322,1
0.91055,0.447018,0.303278,0.669705,0.761539,0.671046,0,0,0.99
0.765853,0.524945,0.657413,0.670539,0.751851,0.686256,0,0,1
0.0476086,0.852549,0.744884,0.670542,0.686013,0.662098,1,0.667592,0.99
0.150738,0.133554,0.271841,0.670792,0.75066,0.679174,0,0,1
0.311313,0.610862,0.487181,0.670974,0.765352,0.696943,0,0,1
0.63446,0.153525,0.620072,0.671597,0.795016,0.664066,1,0.050268,0.99
0.771109,0.315389,0.368389,0.67162,0.71838,0.643334,1,0.292855,1
0.975051,0.187253,0.0602901,0.67175,0.730166,0.674066,0,0,1
0.312494,0.2694,0.62783,0.671971,0.756166,0.682741,0,0,0.98
0.935085,0.652913,0.637012,0.672082,0.760041,0.69759,0,0,1
0.394071,0.05413,0.562504,0.673234,0.754846,0.669039,1,0.0259365,0.99
0.0292842,0.459858,0.466144,0.673298,0.707764,0.674037,0,0,0.99
0.312152,0.187132,0.619614,0.673488,0.754648,0.680832,0,0,0.98
0.341775,0.849218,0.706536,0.673746,0.756136,0.6739,0,0,0.99
0.688386,0.518369,0.66447,0.673786,0.748604,0.684091,0,0,1
0.071498,0.39296,0.953146,0.673896,0.75824,0.687268,0,0,0.99
0.327117,0.492066,0.57802,0.673979,0.781066,0.690325,0,0,1
0.315455,0.311146,0.375375,0.674205,0.738932,0.659475,1,0.107645,1
0.188571,0.323181,0.758861,0.67423,0.730205,0.676671,0,0,1
0.430215,0.0752348,0.901845,0.674414,0.702799,0.655037,4,0.48481,0.99
0.855809,0.650903,0.993497,0.674694,0.77776,0.684448,0,0,0.99
0.12472,0.321547,0.553052,0.675162,0.76435,0.667579,1,0.147448,1
0.308303,0.458195,0.206017,0.675712,0.770266,0.671584,1,0.0247053,0.98
0.117063,0.154472,0.526251,0.675905,0.741294,0.677298,0,0,0.98
0.897524,0.753788,0.956046,0.676322,0.776271,0.675278,1,0.00678642,1
0.694177,0.485024,0.221002,0.677447,0.763976,0.657022,2,0.207903,1
0.666672,0.0853156,0.710244,0.677453,0.775546,0.664395,2,0.104076,1
0.593806,0.58424,0.134011,0.67749,0.807029,0.674152,1,0.0193159,1
0.423119,0.838331,0.814875,0.677636,0.682091,0.654047,2,1.73164,0.98
0.996042,0.840534,0.746234,0.677892,0.685375,0.663217,1,1.2912,1
0.987472,0.877764,0.247129,0.678271,0.765729,0.679523,0,0,1
0.838349,0.8962,0.23656,0.678376,0.772382,0.667552,3,0.196481,1
0.534225,0.653091,0.59563,0.679135,0.747772,0.697508,0,0,1
0.54653,0.0992604,0.728005,0.679182,0.749859,0.66534,2,0.1724,1
0.599766,0.355404,0.780285,0.67995,0.780157,0.681724,0,0,1
0.697405,0.285569,0.372952,0.679954,0.723315,0.634494,3,0.65765,0.99
0.386974,0.910238,0.0870409,0.680229,0.765348,0.664185,3,0.129799,0.99
0.574512,0.869665,0.652622,0.680323,0.782302,0.680008,1,0.00192186,0.98
0.769212,0.126322,0.911687,0.680726,0.766013,0.644898,2,0.487569,0.97
0.570185,0.0355415,0.762793,0.680881,0.751754,0.657329,2,0.41976,0.99
0.0131803,0.310537,0.23525,0.68095,0.75345,0.674205,2,0.162163,0.99
0.313359,0.841985,0.554179,0.681012,0.76318,0.690706,0,0,0.99
0.125315,0.85479,0.136385,0.681093,0.767196,0.683144,0,0,0.98
0.178875,0.0994627,0.0361821,0.68149,0.776076,0.667372,1,0.203182,1
0.621787,0.656011,0.553447,0.681736,0.770279,0.695775,0,0,1
0.95699,0.146363,0.0417645,0.681777,0.720139,0.669841,3,0.0869051,0.99
0.0903769,0.319276,0.946301,0.68187,0.750267,0.676215,1,0.0614821,1
0.99846,0.143869,0.326485,0.682376,0.727367,0.672726,2,0.33468,1
0.77217,0.1372,0.59097,0.682617,0.757317,0.66808,1,0.0938699,0.98
0.943012,0.646151,0.197275,0.683008,0.791524,0.68496,0,0,0.97
0.751782,0.290037,0.619488,0.683058,0.778905,0.672525,1,0.063439,0.99
0.0977916,0.718485,0.214113,0.683346,0.748132,0.66733,1,0.37527,0.99
0.964351,0.366999,0.780073,0.68336,0.780507,0.686802,0,0,0.98
0.033055,0.897925,0.780914,0.683361,0.708594,0.667998,2,0.716029,1
0.67601,0.705577,0.711781,0.683553,0.742683,0.678703,1,0.144537,1
0.230744,0.480031,0.749844,0.683737,0.769857,0.694841,0,0,0.98
0.143687,0.261307,0.707338,0.684094,0.763534,0.675454,1,0.0971204,0.99
0.526665,0.936501,0.364723,0.684162,0.71927,0.653229,4,0.579817,0.98
0.597587,0.136951,0.447032,0.684429,0.782024,0.638047,2,0.608843,0.98
0.299204,0.473487,0.668474,0.684597,0.740238,0.691826,0,0,1
