OriginTime,MinWait,MinSETI
8.3519,1.34916e-05,0
9.68668,6.58367e-05,0
10.6213,0.000111297,0
10.9918,0.00038851,0
11.2659,0.000744951,0
11.433,0.000934922,0
11.6116,0.00106748,0
11.7493,0.00117433,0
11.855,0.00125907,0
11.924,0.00135017,0
12.006,0.00142284,0
12.0867,0.00149866,0
12.144,0.00157329,0
12.2127,0.00162976,0
12.2754,0.00167589,0
12.3205,0.00172714,0
12.3823,0.00178179,0
12.4251,0.00183362,0
12.478,0.00190416,0
12.519,0.00199207,0
12.5654,0.00239223,0
12.61,0.00256129,0
12.65,0.00268582,0
12.6942,0.00278469,0
12.7351,0.00295218,0
12.7735,0.00308781,0
12.8106,0.00320254,0
12.8434,0.00330892,0
12.8828,0.00342442,0
12.9229,0.00353001,0
12.9595,0.0036596,0
12.9919,0.00386513,0
13.0274,0.00412294,0
13.0543,0.00437674,0
13.0803,0.00456457,0
13.118,0.00474935,0
13.1429,0.00493887,0
13.1723,0.00513445,0
13.1973,0.00531047,0
13.2205,0.00549398,0
13.2402,0.00565115,0
13.2659,0.00578973,0
13.2888,0.00591143,0
13.3152,0.0060589,0
13.3336,0.00619684,0
13.3565,0.00634621,0
13.3814,0.00645852,0
13.3997,0.00662509,0
13.4269,0.00674713,0
13.4469,0.00693098,0
13.4673,0.00706587,0
13.4913,0.00722633,0
13.5141,0.00734554,0
13.5343,0.00753347,0
13.5566,0.00770301,0
13.5779,0.00784968,0
13.5978,0.00800316,0
13.6167,0.00812285,0
13.6316,0.00827571,0
13.6451,0.00842831,0
13.665,0.00860432,0
13.6828,0.00877992,0
13.6985,0.00896378,0
13.7127,0.00917908,0
13.7299,0.00933639,0
13.7512,0.00947518,0
13.7665,0.00965683,0
13.7802,0.00980535,0
13.787,0.00997391,0
13.7962,0.010139,0
13.8111,0.0102852,0
13.8266,0.0104431,0
13.8436,0.0105688,0
13.8595,0.0107149,0
13.8744,0.0108719,0
13.8891,0.0110297,0
13.9053,0.0111867,0
13.9221,0.0113533,0
13.9341,0.0114957,0
13.9452,0.0116611,0
13.9611,0.0118218,0
13.9762,0.0119871,0
13.9919,0.0121368,0
14.0034,0.0122984,0
14.018,0.0124285,0
14.0327,0.0126092,0
14.0451,0.0127608,0
14.0592,0.0129071,0
14.0768,0.013057,0
14.0913,0.0131883,0
14.1032,0.013341,0
14.1151,0.0134893,0
14.1271,0.0136164,0
14.1422,0.0137474,0
14.1559,0.0138955,0
